policy_name,base_policy_name,atr_mult,timeframe,direction,volume,contract_size,entry_time,entry_price,exit_time,exit_price,exit_reason,holding_minutes,gross_pnl,fee,slippage,net_pnl,no_cost_net_pnl,r_multiple,mfe,mae,size,entry_signal_time,exit_signal_time,used_htf_bar_time,entry_atr,initial_risk
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,long,0.01,0.01,2026-03-23T20:14:00+08:00,69988.4,2026-03-24T23:14:00+08:00,69923.4,atr_trailing_stop,1620.0,-0.006500000000000001,0.00699559,4e-05,-0.013535590000000002,-0.006500000000000001,-0.05113917539683831,0.1782,0.05083999999999942,0.01,2026-03-23T19:59:00+08:00,2026-03-24T22:59:00+08:00,2026-03-23T19:59:00+08:00,882.2714285714277,0.2646814285714283
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,short,0.01,0.01,2026-03-25T01:14:00+08:00,69211.1,2026-03-25T17:14:00+08:00,71284.9,atr_trailing_stop,960.0,-0.20737999999999884,0.0070248,4e-05,-0.21444479999999885,-0.20737999999999884,-1.1859807302591763,0.030430000000000294,0.22488999999999942,0.01,2026-03-25T00:59:00+08:00,2026-03-25T16:59:00+08:00,2026-03-25T00:59:00+08:00,602.721428571428,0.1808164285714284
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,long,0.01,0.01,2026-03-25T20:14:00+08:00,71714.9,2026-03-26T14:14:00+08:00,70040.6,atr_trailing_stop,1080.0,-0.16742999999999886,0.007087775000000001,4e-05,-0.17455777499999886,-0.16742999999999886,-1.1528814147017974,0.02995,0.18148999999999943,0.01,2026-03-25T19:59:00+08:00,2026-03-26T13:59:00+08:00,2026-03-25T19:59:00+08:00,504.6999999999992,0.15140999999999977
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,short,0.01,0.01,2026-03-26T18:14:00+08:00,69549.4,2026-03-27T14:14:00+08:00,70000.0,donchian_exit,1200.0,-0.045060000000000586,0.00697747,4e-05,-0.052077470000000584,-0.045060000000000586,-0.418242541059315,0.14323999999999942,0.06472000000000117,0.01,2026-03-26T17:59:00+08:00,2026-03-27T13:59:00+08:00,2026-03-26T17:59:00+08:00,415.0499999999998,0.12451499999999995
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,long,0.01,0.01,2026-03-27T15:14:00+08:00,70450.0,2026-03-27T17:14:00+08:00,68400.0,atr_trailing_stop,120.0,-0.20500000000000002,0.006942500000000001,4e-05,-0.21198250000000002,-0.20500000000000002,-1.0788619393489982,0.003680000000000291,0.23508999999999944,0.01,2026-03-27T14:59:00+08:00,2026-03-27T16:59:00+08:00,2026-03-27T14:59:00+08:00,654.9571428571404,0.19648714285714214
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,short,0.01,0.01,2026-03-27T20:14:00+08:00,66600.0,2026-03-28T16:14:00+08:00,66457.9,donchian_exit,1200.0,0.014210000000000583,0.006652895,4e-05,0.007517105000000583,0.014210000000000583,0.021322528162737754,0.10905999999999987,0.024060000000000584,0.01,2026-03-27T19:59:00+08:00,2026-03-28T15:59:00+08:00,2026-03-27T19:59:00+08:00,1175.142857142854,0.35254285714285616
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,long,0.01,0.01,2026-03-28T22:14:00+08:00,66749.4,2026-03-30T07:14:00+08:00,66059.4,atr_trailing_stop,1980.0,-0.069,0.00664044,4e-05,-0.07568044,-0.069,-0.743495824737209,0.05151000000000058,0.17799999999999927,0.01,2026-03-28T21:59:00+08:00,2026-03-30T06:59:00+08:00,2026-03-28T21:59:00+08:00,339.29999999999774,0.10178999999999933
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,long,0.01,0.01,2026-03-30T11:14:00+08:00,66971.0,2026-03-31T03:14:00+08:00,66404.6,donchian_exit,960.0,-0.05663999999999942,0.006668780000000001,4e-05,-0.06334877999999942,-0.05663999999999942,-0.3903602704272932,0.1109,0.07095,0.01,2026-03-30T10:59:00+08:00,2026-03-31T02:59:00+08:00,2026-03-30T10:59:00+08:00,540.9428571428564,0.16228285714285692
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,short,0.01,0.01,2026-03-31T18:14:00+08:00,66335.6,2026-03-31T23:59:00+08:00,66704.1,end_of_sample,345.0,-0.03685,0.006651985000000002,4e-05,-0.043541985,-0.03685,-0.25720352649300027,0.028050000000000002,0.1399,0.01,2026-03-31T17:59:00+08:00,2026-03-31T23:59:00+08:00,2026-03-31T17:59:00+08:00,564.2999999999998,0.16928999999999994
tf_1h_donchian_20_10_atr4,tf_1h_donchian_20_10,4.0,1h,short,0.01,0.01,2026-01-01T05:14:00+08:00,87396.7,2026-01-01T22:14:00+08:00,87942.0,donchian_exit,1020.0,-0.054530000000000294,0.008766935,4e-05,-0.06333693500000029,-0.054530000000000294,-0.29196369209899126,0.1396699999999997,0.1103300000000003,0.01,2026-01-01T04:59:00+08:00,2026-01-01T21:59:00+08:00,2026-01-01T04:59:00+08:00,542.3357142857141,0.21693428571428564
