group,event_group,hold,split,trade_count,no_cost_pnl,cost_aware_pnl,funding_pnl,funding_adjusted_pnl,avg_gross_return,win_rate
D,random_score_matched_control,hold_3d,oos_ext,1461,12080.867273898399,9158.867273898399,-218.4637864123971,8940.403487486003,0.008268902993770293,0.5263518138261465
D,random_score_matched_control,hold_3d,train_ext,2171,19044.444305556783,14702.44430555678,-689.0898329163214,14013.354472640458,0.008772199127386818,0.5375403040073699
D,random_score_matched_control,hold_3d,validation_ext,1587,4680.385282278006,1506.3852822780068,-369.1060911570213,1137.279191120986,0.002949203076419664,0.518588531821046
D,random_score_matched_control,hold_4h,oos_ext,1461,1518.0117502646317,-1403.9882497353683,-46.633801636389805,-1450.6220513717583,0.0010390224163344501,0.433264887063655
D,random_score_matched_control,hold_4h,train_ext,2171,2518.985665446782,-1823.0143345532176,-96.41314401831319,-1919.4274785715306,0.0011602881922831794,0.4269921695071396
D,random_score_matched_control,hold_4h,validation_ext,1587,79.86811839633475,-3094.1318816036646,-70.7646276054612,-3164.8965092091257,5.03264766202489e-05,0.43667296786389415
D,random_score_matched_control,hold_8h,oos_ext,1461,1172.6866647505396,-1749.3133352494604,-56.47065306446531,-1805.7839883139254,0.0008026602770366459,0.4407939767282683
D,random_score_matched_control,hold_8h,train_ext,2171,4157.365607566257,-184.6343924337432,-117.3607767053409,-301.9951691390836,0.0019149542181327763,0.45877475817595575
D,random_score_matched_control,hold_8h,validation_ext,1587,1567.5647561569494,-1606.4352438430503,-88.49704832431229,-1694.9322921673624,0.0009877534695380903,0.4549464398235665
E,reverse_direction_test,hold_1d,oos_ext,1461,-3982.4361125156247,-6904.436112515626,18.612442280539504,-6885.823670235086,-0.0027258289613385526,0.4455852156057495
E,reverse_direction_test,hold_1d,train_ext,2171,1488.853233404839,-2853.146766595163,-50.295902708634586,-2903.4426693037985,0.00068579144790642,0.44173192077383694
E,reverse_direction_test,hold_1d,validation_ext,1587,4017.4132493293073,843.4132493293073,3.863871847971795,847.2771211772797,0.0025314513228288007,0.48897290485192185
E,reverse_direction_test,hold_3d,oos_ext,1461,-9125.574079848435,-12047.574079848433,43.00299851386999,-12004.571081334565,-0.006246115044386335,0.44421629021218345
E,reverse_direction_test,hold_3d,train_ext,2171,13640.314116522137,9298.314116522139,-123.10812553430472,9175.205990987837,0.006282963664911165,0.44771994472593274
E,reverse_direction_test,hold_3d,validation_ext,1587,4588.015825495634,1414.0158254956348,-15.752081069391096,1398.2637444262432,0.002890999259921634,0.5110270951480781
E,reverse_direction_test,hold_4h,oos_ext,1461,-630.8769529207475,-3552.876952920748,8.105087742897199,-3544.7718651778496,-0.0004318117405343924,0.4407939767282683
E,reverse_direction_test,hold_4h,train_ext,2171,1385.067760307572,-2956.9322396924285,-11.437734392549398,-2968.3699740849765,0.000637986071076726,0.4094887148779364
E,reverse_direction_test,hold_4h,validation_ext,1587,1090.5412789439472,-2083.458721056053,16.789058324709004,-2066.669662731343,0.0006871715683326701,0.4379332073093888
E,reverse_direction_test,hold_8h,oos_ext,1461,-1192.8478122234546,-4114.847812223456,7.104532605297699,-4107.743279618157,-0.0008164598304061976,0.44969199178644764
E,reverse_direction_test,hold_8h,train_ext,2171,789.8842443682026,-3552.1157556317967,-19.95284357788659,-3572.068599209683,0.0003638342903584538,0.4269921695071396
E,reverse_direction_test,hold_8h,validation_ext,1587,2231.0794376435933,-942.9205623564067,16.912233182520996,-926.0083291738852,0.0014058471566752322,0.46628859483301827
