split,policy_name,policy_family,timeframe,regime_at_entry,trade_count,aligned_trade_count,net_pnl,no_cost_pnl,avg_net_pnl,avg_no_cost_pnl,positive_trade_count,negative_trade_count,win_rate,positive_pnl_sum,loss_abs_sum
train_ext,v3_1d_donchian_20_10_atr4,1d_donchian,1d,strong_uptrend,3,3,-0.13018299999999997,-0.12657999999999991,-0.04339433333333332,-0.042193333333333305,1,2,0.3333333333333333,0.0175812999999999,0.14776429999999988
train_ext,v3_1d_donchian_20_10_atr4,1d_donchian,1d,weak_downtrend,2,2,-0.1939538549999999,-0.18968999999999991,-0.09697692749999995,-0.09484499999999996,0,2,0.0,0.0,0.1939538549999999
train_ext,v3_1d_donchian_20_10_atr4,1d_donchian,1d,weak_uptrend,14,14,2.76294871,2.7936,0.19735347928571428,0.19954285714285716,7,7,0.5,3.4231591049999994,0.6602103949999997
train_ext,v3_1d_donchian_55_20_atr5,1d_donchian,1d,choppy,11,0,-2.208962449999999,-2.191679999999999,-0.2008147681818181,-0.19924363636363626,2,9,0.18181818181818182,0.13228796500000012,2.3412504149999993
train_ext,v3_1d_donchian_55_20_atr5,1d_donchian,1d,high_vol_choppy,1,0,-0.0124348599999999,-0.0122399999999999,-0.0124348599999999,-0.0122399999999999,0,1,0.0,0.0,0.0124348599999999
train_ext,v3_1d_donchian_55_20_atr5,1d_donchian,1d,weak_uptrend,7,7,1.0914507350000004,1.1112900000000003,0.15592153357142863,0.15875571428571433,3,4,0.42857142857142855,2.4672027350000003,1.3757519999999999
train_ext,v3_1d_ema_50_200_atr5,1d_ema,1d,choppy,10,0,0.8336777649999998,0.84227,0.08336777649999998,0.084227,5,5,0.5,0.8957811499999995,0.0621033849999996
train_ext,v3_1d_ema_50_200_atr5,1d_ema,1d,compression,3,0,0.6404331650000002,0.6467700000000002,0.21347772166666676,0.21559000000000006,2,1,0.6666666666666666,0.71237669,0.0719435249999998
train_ext,v3_1d_ema_50_200_atr5,1d_ema,1d,high_vol_choppy,2,0,0.029046255,0.029769999999999998,0.0145231275,0.014884999999999999,1,1,0.5,0.03724835,0.008202095
train_ext,v3_1d_ema_50_200_atr5,1d_ema,1d,strong_uptrend,2,2,-0.44222676000000005,-0.43818000000000007,-0.22111338000000003,-0.21909000000000003,1,1,0.5,0.0082317599999999,0.45045852
train_ext,v3_1d_ema_50_200_atr5,1d_ema,1d,weak_uptrend,52,52,1.806118335000003,1.9394100000000032,0.03473304490384621,0.037296346153846215,10,42,0.19230769230769232,4.7302870850000005,2.9241687499999975
train_ext,v3_4h_donchian_100_30_atr5,4h_donchian,4h,choppy,13,0,1.0743718300000002,1.09702,0.08264398692307694,0.08438615384615386,6,7,0.46153846153846156,1.4762708550000003,0.4018990249999999
train_ext,v3_4h_donchian_100_30_atr5,4h_donchian,4h,compression,1,0,1.859397595,1.86481,1.859397595,1.86481,1,0,1.0,1.859397595,0.0
train_ext,v3_4h_donchian_100_30_atr5,4h_donchian,4h,high_vol_choppy,13,0,0.09760888500000031,0.12035000000000032,0.007508375769230793,0.009257692307692331,5,8,0.38461538461538464,0.8110257699999999,0.7134168849999996
train_ext,v3_4h_donchian_100_30_atr5,4h_donchian,4h,strong_uptrend,7,7,-0.5357619150000004,-0.5206300000000004,-0.07653741642857148,-0.07437571428571434,2,5,0.2857142857142857,0.30974720499999997,0.8455091200000004
train_ext,v3_4h_donchian_100_30_atr5,4h_donchian,4h,weak_downtrend,17,17,-1.43926901,-1.40404,-0.08466288294117648,-0.08259058823529411,5,12,0.29411764705882354,0.2515882849999997,1.6908572949999998
train_ext,v3_4h_donchian_100_30_atr5,4h_donchian,4h,weak_uptrend,20,20,-0.27232381999999955,-0.2465199999999994,-0.013616190999999977,-0.01232599999999997,6,14,0.3,0.7212482049999995,0.9935720249999991
train_ext,v3_4h_donchian_20_10_atr4,4h_donchian,4h,choppy,90,0,0.9849497800000031,1.1060600000000036,0.01094388644444448,0.012289555555555595,25,65,0.2777777777777778,3.2639586699999996,2.279008889999997
train_ext,v3_4h_donchian_20_10_atr4,4h_donchian,4h,compression,5,0,0.5710195000000002,0.5851000000000003,0.11420390000000005,0.11702000000000005,2,3,0.4,0.7358739400000001,0.1648544399999998
train_ext,v3_4h_donchian_20_10_atr4,4h_donchian,4h,high_vol_choppy,43,0,-1.070918445000001,-0.9784300000000014,-0.024905080116279097,-0.02275418604651166,20,23,0.46511627906976744,2.000830894999998,3.071749339999999
train_ext,v3_4h_donchian_20_10_atr4,4h_donchian,4h,strong_downtrend,3,1,-0.23496979000000018,-0.2304000000000001,-0.07832326333333339,-0.07680000000000003,0,3,0.0,0.0,0.23496979000000018
train_ext,v3_4h_donchian_20_10_atr4,4h_donchian,4h,strong_uptrend,6,6,0.11130050999999941,0.1197599999999995,0.0185500849999999,0.01995999999999992,2,4,0.3333333333333333,0.5649709399999998,0.4536704300000004
train_ext,v3_4h_donchian_20_10_atr4,4h_donchian,4h,weak_downtrend,38,37,-0.8209275199999994,-0.7628599999999993,-0.021603355789473668,-0.020075263157894718,12,26,0.3157894736842105,0.4127124199999998,1.233639939999999
train_ext,v3_4h_donchian_20_10_atr4,4h_donchian,4h,weak_uptrend,60,56,-1.6241823599999978,-1.5230599999999976,-0.027069705999999964,-0.025384333333333294,20,40,0.3333333333333333,1.3812920499999992,3.005474409999997
train_ext,v3_4h_donchian_55_20_atr4,4h_donchian,4h,choppy,42,0,3.438273805000001,3.5138300000000013,0.08186366202380954,0.08366261904761908,15,27,0.35714285714285715,4.801648485,1.363374679999998
train_ext,v3_4h_donchian_55_20_atr4,4h_donchian,4h,compression,2,0,-0.0639070849999999,-0.059849999999999896,-0.03195354249999995,-0.029924999999999948,0,2,0.0,0.0,0.0639070849999999
train_ext,v3_4h_donchian_55_20_atr4,4h_donchian,4h,high_vol_choppy,21,0,-0.986562510000001,-0.9525000000000011,-0.04697916714285719,-0.04535714285714291,7,14,0.3333333333333333,1.0000903699999995,1.9866528800000003
train_ext,v3_4h_donchian_55_20_atr4,4h_donchian,4h,strong_downtrend,1,1,-0.2035108499999998,-0.2016999999999998,-0.2035108499999998,-0.2016999999999998,0,1,0.0,0.0,0.2035108499999998
train_ext,v3_4h_donchian_55_20_atr4,4h_donchian,4h,strong_uptrend,5,5,-0.1377514000000008,-0.1266800000000008,-0.02755028000000016,-0.025336000000000157,2,3,0.4,0.3580297850000001,0.4957811850000009
train_ext,v3_4h_donchian_55_20_atr4,4h_donchian,4h,weak_downtrend,21,21,-1.1105514900000004,-1.0744000000000005,-0.05288340428571431,-0.05116190476190478,5,16,0.23809523809523808,0.0443356599999995,1.15488715
train_ext,v3_4h_donchian_55_20_atr4,4h_donchian,4h,weak_uptrend,29,29,0.6675561050000008,0.7044900000000007,0.023019176034482787,0.02429275862068968,12,17,0.41379310344827586,1.4806034949999995,0.8130473899999989
train_ext,v3_4h_donchian_55_with_risk_filters,4h_donchian,4h,choppy,15,0,2.6385549050000012,2.667330000000001,0.1759036603333334,0.17782200000000006,5,10,0.3333333333333333,3.0550172300000007,0.41646232499999924
train_ext,v3_4h_donchian_55_with_risk_filters,4h_donchian,4h,high_vol_choppy,1,0,-0.0213668249999999,-0.0207499999999999,-0.0213668249999999,-0.0207499999999999,0,1,0.0,0.0,0.0213668249999999
train_ext,v3_4h_donchian_55_with_risk_filters,4h_donchian,4h,strong_uptrend,3,3,0.72376422,0.7278800000000001,0.24125474,0.24262666666666668,1,2,0.3333333333333333,0.7608116099999997,0.0370473899999998
train_ext,v3_4h_donchian_55_with_risk_filters,4h_donchian,4h,weak_downtrend,3,3,-0.1763444199999999,-0.17241999999999988,-0.0587814733333333,-0.05747333333333329,0,3,0.0,0.0,0.1763444199999999
train_ext,v3_4h_donchian_55_with_risk_filters,4h_donchian,4h,weak_uptrend,8,8,0.01808348000000009,0.021680000000000102,0.002260435000000011,0.0027100000000000127,3,5,0.375,0.0806507149999998,0.0625672349999997
train_ext,v3_4h_ema_50_200_atr4,4h_ema,4h,choppy,64,0,0.8168001300000007,0.9371000000000005,0.012762502031250011,0.014642187500000008,21,43,0.328125,2.496504129999999,1.679703999999998
train_ext,v3_4h_ema_50_200_atr4,4h_ema,4h,compression,24,0,1.3488512000000015,1.4006200000000013,0.0562021333333334,0.05835916666666672,7,17,0.2916666666666667,1.61771722,0.2688660199999987
train_ext,v3_4h_ema_50_200_atr4,4h_ema,4h,high_vol_choppy,21,0,0.5793734950000002,0.6141900000000002,0.02758921404761906,0.029247142857142867,9,12,0.42857142857142855,0.9831055500000001,0.4037320549999999
train_ext,v3_4h_ema_50_200_atr4,4h_ema,4h,strong_downtrend,1,1,-0.0901188799999999,-0.0873799999999999,-0.0901188799999999,-0.0873799999999999,0,1,0.0,0.0,0.0901188799999999
train_ext,v3_4h_ema_50_200_atr4,4h_ema,4h,strong_uptrend,4,4,1.5050028749999993,1.5160899999999995,0.3762507187499998,0.3790224999999999,3,1,0.75,1.6841864749999993,0.1791836
train_ext,v3_4h_ema_50_200_atr4,4h_ema,4h,weak_downtrend,125,125,-1.1193780249999943,-0.8788099999999945,-0.008955024199999955,-0.007030479999999956,23,102,0.184,0.6128461399999993,1.7322241649999939
train_ext,v3_4h_ema_50_200_atr4,4h_ema,4h,weak_uptrend,252,252,-2.519484494999991,-1.906749999999992,-0.00999795434523806,-0.007566468253968222,47,205,0.1865079365079365,4.657718564999997,7.177203059999989
train_ext,v3_4h_vol_compression_donchian_breakout,4h_donchian,4h,choppy,72,0,1.2096328750000005,1.3185900000000008,0.01680045659722223,0.01831375000000001,23,49,0.3194444444444444,3.004207929999999,1.7945750549999988
train_ext,v3_4h_vol_compression_donchian_breakout,4h_donchian,4h,compression,6,0,0.5679767550000003,0.5821700000000003,0.09466279250000005,0.09702833333333338,2,4,0.3333333333333333,0.7358739400000001,0.1678971849999998
train_ext,v3_4h_vol_compression_donchian_breakout,4h_donchian,4h,high_vol_choppy,15,0,-1.0349271400000017,-0.9957400000000015,-0.06899514266666679,-0.06638266666666677,7,8,0.4666666666666667,0.6079762049999993,1.642903345000001
train_ext,v3_4h_vol_compression_donchian_breakout,4h_donchian,4h,strong_downtrend,1,0,-0.0538995750000003,-0.0512300000000002,-0.0538995750000003,-0.0512300000000002,0,1,0.0,0.0,0.0538995750000003
train_ext,v3_4h_vol_compression_donchian_breakout,4h_donchian,4h,strong_uptrend,2,2,-0.1230380549999998,-0.1216699999999998,-0.0615190274999999,-0.0608349999999999,0,2,0.0,0.0,0.1230380549999998
train_ext,v3_4h_vol_compression_donchian_breakout,4h_donchian,4h,weak_downtrend,33,32,-0.26046207499999907,-0.2085299999999991,-0.007892790151515124,-0.006319090909090882,11,22,0.3333333333333333,0.4302394800000001,0.6907015549999992
train_ext,v3_4h_vol_compression_donchian_breakout,4h_donchian,4h,weak_uptrend,47,43,-1.7224088499999979,-1.6419799999999978,-0.03664699680851059,-0.03493574468085102,13,34,0.2765957446808511,1.1391436599999993,2.8615525099999974
train_ext,v3_ensemble_core,ensemble,1d,choppy,1,0,-0.0697019599999999,-0.0690799999999999,-0.0697019599999999,-0.0690799999999999,0,1,0.0,0.0,0.0697019599999999
train_ext,v3_ensemble_core,ensemble,4h,choppy,83,0,1.3923460250000017,1.5424500000000019,0.01677525331325303,0.01858373493975906,26,57,0.3132530120481928,3.5236194649999986,2.131273439999997
train_ext,v3_ensemble_core,ensemble,4h,compression,22,0,1.3196433150000013,1.3705700000000016,0.0599837870454546,0.06229863636363644,5,17,0.22727272727272727,1.581005585,0.2613622699999987
train_ext,v3_ensemble_core,ensemble,4h,high_vol_choppy,31,0,-1.1066897400000006,-1.0534400000000006,-0.03569966903225809,-0.03398193548387099,10,21,0.3225806451612903,1.0085985899999996,2.1152883300000003
