exit_variant,oracle,strategy_source,policy_or_group,trade_count,no_cost_pnl,cost_aware_pnl,funding_adjusted_pnl,funding_events_count,funding_data_complete,win_rate,profit_factor,max_drawdown,largest_symbol_pnl_share,top_5pct_trade_pnl_contribution,avg_captured_fraction,early_exit_share,late_entry_share
fixed_hold_longer_2x,False,trend_v3_extended,v3_1d_ema_50_200_atr5,162,-0.0801600000000009,-0.5832309099999997,-0.924222426640394,3731,True,0.4074074074074074,0.9344583041642025,3.820735480390447,0.8003183442347848,-7.027250919064276,0.42850598596852324,0.36419753086419754,0.25925925925925924
fixed_hold_longer_2x,False,trend_v3_extended,v3_4h_donchian_100_30_atr5,170,-7.670749999999999,-8.12622897,-8.488631320023718,4525,True,0.3941176470588235,0.5979218419922512,9.115647650883353,0.3866148915221859,-0.8527882947415446,0.7389449842907471,0.1588235294117647,0.041176470588235294
fixed_hold_longer_2x,False,trend_v3_extended,v3_4h_donchian_20_10_atr4,517,-10.280919999999995,-11.599846599999989,-12.25044316851916,11226,True,0.402321083172147,0.7284175095843229,14.015655127671245,0.45785665530322067,-1.3611780112279621,0.6795176572243784,0.3481624758220503,0.2727272727272727
fixed_hold_longer_2x,False,trend_v3_extended,v3_4h_donchian_55_20_atr4,278,-10.95528,-11.707673785,-12.161330578568553,6804,True,0.4172661870503597,0.6067054259869151,13.121651935965717,1.0,-0.8161986743031301,0.7216008926408265,0.2446043165467626,0.12589928057553956
fixed_hold_longer_2x,False,trend_v3_extended,v3_4h_donchian_55_with_risk_filters,73,3.268329999999999,3.119178674999999,2.9984774463957886,1750,True,0.3972602739726027,1.6208044245293287,2.9563763042815614,0.7277453186660738,1.2847743827679516,0.7165211098591281,0.2328767123287671,0.136986301369863
fixed_hold_longer_2x,False,trend_v3_extended,v3_4h_ema_50_200_atr4,1116,5.080380000000006,1.8214805650000132,0.5658443530131683,13088,True,0.3924731182795699,1.0103437860687634,9.454167302393294,0.8670416107025227,59.831521665846935,0.42103256460039634,0.6245519713261649,0.4659498207885305
fixed_hold_longer_2x,False,trend_v3_extended,v3_4h_vol_compression_donchian_breakout,349,-6.213389999999997,-7.110779979999994,-7.603720449424259,7497,True,0.3753581661891118,0.7425037053509128,7.756565220644716,1.0,-1.5391918264892872,0.6623200832354659,0.38108882521489973,0.30945558739255014
fixed_hold_longer_2x,False,trend_v3_extended,v3_ensemble_core,1154,0.15598000000001078,-3.151063649999985,-4.410429750510443,14059,True,0.38388214904679374,0.9276969643393286,10.031930249435078,0.807454323118004,-8.046473052923515,0.433463032866619,0.6152512998266898,0.44540727902946275
fixed_hold_longer_2x,False,vsvcb_v1,A,17155,-125151.57823859647,-159461.5782385965,-159580.66159628646,19045,True,0.3802972894199942,0.4446591698331635,160087.31193215554,0.6160030390104418,-0.379923132472425,0.08245891371921804,0.9666569513261439,0.6514135820460507
fixed_hold_longer_2x,False,vsvcb_v1,B,5963,-30425.539678149482,-42351.53967814948,-42352.00726129682,6499,True,0.3709542176756666,0.4943214014185011,42562.419210143555,0.5724680836592615,-0.4846144627320964,0.07744513787530641,0.9721616635921516,0.6607412376320644
