lookback,atr_mult,max_hold,train_pnl,validation_pnl,oos_pnl
30,3.0,40,8618.459108741057,3691.5860915546245,1250.4787584760077
30,3.0,80,10076.891245412207,3149.123104829303,2654.4621554266805
40,1.0,50,7443.373551306256,2242.2212354061608,1995.589875372994
40,1.0,55,7345.50825069054,2042.9956490859595,2116.030141603581
40,1.0,60,7435.168098951168,1893.9681580300205,2274.2861583431477
40,1.0,65,8572.516274458787,2060.732591467083,2110.700243898252
40,1.0,70,8536.611634801086,1878.126880981104,2176.058947818614
40,1.0,20,6711.976330723007,2912.7767547424114,1151.6845088634204
40,1.0,40,7582.697013267387,2391.7677134587134,1593.8176452444907
40,1.0,80,8081.549277123196,2155.6713255351574,2068.903611929379
40,1.5,50,7782.718027677184,2769.583273280301,2108.599309048192
40,1.5,55,7727.972936615965,2527.0480942153968,2221.0844400062147
40,1.5,60,7701.019736032089,2347.6838470931093,2288.371207840259
40,1.5,65,8797.902037803575,2516.3156815825923,2170.7249749117045
40,1.5,70,8722.856129306572,2252.1980456916203,2304.342905449188
40,1.5,20,6843.138125077598,3429.480669980962,1273.278742702747
40,1.5,40,7831.10535386766,2976.9820072295065,1605.6403428673393
40,1.5,80,8389.98862512601,2411.5192236049375,2121.6145289051165
40,2.0,50,7684.824681932853,2588.8883898618037,2154.486335669433
40,2.0,55,7604.19283333456,2454.219600450018,2260.4526478960634
40,2.0,60,7733.764414630218,2251.3499638503927,2309.7458903249494
40,2.0,65,8844.603064727675,2384.3664817020876,2185.4024437423795
40,2.0,70,8706.694728987617,2094.7902555104847,2386.622758459003
40,2.0,20,6556.709656273404,3360.3291402161994,1335.5280891557668
40,2.0,40,7705.771082263883,2978.9867195212955,1617.4644135652688
40,2.0,80,8664.89043986665,2153.716123190271,2176.6381094261583
40,2.5,50,7561.852210470805,2471.1420545097826,2009.6982788234227
40,2.5,55,7433.334956010049,2436.3621132404787,2065.6162469645515
40,2.5,60,7637.06498738789,2187.0021651991083,2183.9858172726736
40,2.5,65,8799.324323205088,2348.9455397358897,2034.5493458798896
40,2.5,70,8460.43012636623,2210.379150068494,2214.185535037252
40,2.5,20,6433.990559821759,3242.8649900515225,1334.2065090650997
40,2.5,40,7430.898881408864,2805.4658844108612,1458.4025958400223
40,2.5,80,8364.482452176891,2189.5355560286293,1997.3586242798003
40,3.0,50,7813.23860778832,2826.23169596147,1711.8109068377091
40,3.0,55,7655.938965737575,2643.641909101538,1836.943641427033
40,3.0,60,7776.328787662285,2300.808503680837,2069.7113301056106
40,3.0,65,9020.102907244564,2527.002166502298,1959.835270075768
40,3.0,70,8554.894596598459,2405.2661831290184,2370.2469867316527
40,3.0,20,6353.48886058497,3381.9477776356016,1091.6780760002846
40,3.0,40,7660.992431010831,3034.0686984141316,1284.2640497748844
40,3.0,80,8664.919711355296,2486.814919470477,1890.852635505587
