split,policy_name,policy_family,month,trade_count,net_pnl,no_cost_pnl,win_rate,avg_trade,max_drawdown,max_ddpercent,active_symbol_count,avg_holding_minutes
oos,v3_4h_donchian_20_10_atr4,4h_donchian,2026-03,22,-2.547636659999999,-2.489779999999999,0.045454545454545456,-0.11580166636363631,2.5476366599996254,0.050952733199992516,5,4821.772727272727
oos,v3_4h_donchian_55_20_atr4,4h_donchian,2026-01,7,-1.6465958850000004,-1.6157100000000006,0.2857142857142857,-0.23522798357142863,1.70201443499991,0.0340402886999982,5,8057.142857142857
oos,v3_4h_donchian_55_20_atr4,4h_donchian,2026-02,7,0.7307234949999994,0.7559099999999991,0.42857142857142855,0.10438907071428563,0.5449520249994748,0.010896260481438354,4,12720.0
oos,v3_4h_donchian_55_20_atr4,4h_donchian,2026-03,13,-2.4407300900000006,-2.4079600000000005,0.07692307692307693,-0.1877484684615385,2.5194322650004324,0.05038864530000865,5,5279.846153846154
oos,v3_4h_donchian_55_with_risk_filters,risk_filtered,2026-01,4,-0.5476453100000002,-0.5333200000000001,0.0,-0.13691132750000004,0.5476453100000072,0.010952906200000143,4,7500.0
oos,v3_4h_donchian_55_with_risk_filters,risk_filtered,2026-02,2,1.08180052,1.0926199999999997,0.5,0.54090026,0.0864747499999794,0.001729090989151147,2,9480.0
oos,v3_4h_donchian_55_with_risk_filters,risk_filtered,2026-03,3,-0.2782595549999999,-0.27196999999999993,0.0,-0.09275318499999996,0.2782595549997495,0.005565191099994991,3,5679.666666666667
oos,v3_4h_ema_50_200_atr4,4h_ema,2026-01,30,-1.3793551650000002,-1.2738700000000005,0.13333333333333333,-0.04597850550000001,1.3793551649996516,0.027587103299993032,5,3192.0
oos,v3_4h_ema_50_200_atr4,4h_ema,2026-02,27,1.7540357050000004,1.8336300000000005,0.2222222222222222,0.06496428537037038,0.5359437150000304,0.010713967347054345,5,4266.666666666667
oos,v3_4h_ema_50_200_atr4,4h_ema,2026-03,42,-1.8643718649999992,-1.747689999999999,0.2619047619047619,-0.04438980630952379,1.9599580149997564,0.03919916029999513,5,2422.785714285714
oos,v3_4h_vol_compression_donchian_breakout,vol_compression,2026-01,9,-0.8179919650000013,-0.7751900000000016,0.4444444444444444,-0.09088799611111126,0.844155755000429,0.016883115100008582,4,7920.0
oos,v3_4h_vol_compression_donchian_breakout,vol_compression,2026-02,7,-0.4768407949999997,-0.4615299999999997,0.14285714285714285,-0.06812011357142853,0.5452020449993142,0.01090389181925136,4,3394.285714285714
oos,v3_4h_vol_compression_donchian_breakout,vol_compression,2026-03,15,-0.996763795,-0.9529700000000001,0.13333333333333333,-0.06645091966666666,0.9967637950003336,0.019935275900006672,5,5088.0
oos,v3_ensemble_core,ensemble,2026-01,28,-1.06614776,-0.9726999999999997,0.21428571428571427,-0.038076705714285716,1.241995565000252,0.02483991130000504,5,3600.0
oos,v3_ensemble_core,ensemble,2026-02,27,1.8323006800000003,1.9116800000000005,0.25925925925925924,0.06786298814814816,0.45767874000011943,0.00914938441959708,5,4364.444444444444
