exit_variant,oracle,symbol,trade_count,no_cost_pnl,cost_aware_pnl,funding_adjusted_pnl,funding_events_count,funding_data_complete,win_rate,profit_factor,max_drawdown,largest_symbol_pnl_share,top_5pct_trade_pnl_contribution,avg_captured_fraction,early_exit_share,late_entry_share,avg_hold_bars,max_hold_bars_used,exit_reason_distribution
health_no_energy,False,LINKUSDT_SWAP_OKX.GLOBAL,949,-0.4393999999999999,-0.6024618549999946,-0.6493254209072525,6633,True,0.3519494204425711,0.7536920275947159,0.7206723385130877,1.0,-1.7216223561068706,0.23957067293740875,0.6364594309799789,0.3340358271865121,9.463645943097998,45,"{""hard_drawdown"": 57, ""health_deterioration"": 892}"
health_no_energy,False,SOLUSDT_SWAP_OKX.GLOBAL,704,-11.091139999999996,-12.146146734999991,-12.456580044341635,3270,True,0.3835227272727273,0.5178888724519243,14.302805137931335,1.0,-0.5958760430680026,0.16285224560910128,0.6789772727272727,0.3536931818181818,6.994318181818182,42,"{""hard_drawdown"": 48, ""health_deterioration"": 656}"
oracle_hold_to_trend_end,True,BTCUSDT_SWAP_OKX.GLOBAL,764,-76.56563999999995,-81.68638312999992,-87.89959494259793,25489,True,0.41492146596858637,0.6369929323547021,112.00910715619949,1.0,-0.80865613840032,0.7299510292280305,0.3023560209424084,0.38481675392670156,44.70680628272251,321,"{""oracle_hold_to_trend_end"": 764}"
oracle_hold_to_trend_end,True,DOGEUSDT_SWAP_OKX.GLOBAL,728,-4.519190000000007,-6.991437979999997,-7.85794050481028,19819,True,0.4958791208791209,0.9162732062782735,22.63305421223271,1.0,-6.790826754701999,0.7201120831158712,0.2774725274725275,0.40384615384615385,42.42307692307692,327,"{""oracle_hold_to_trend_end"": 728}"
oracle_hold_to_trend_end,True,ETHUSDT_SWAP_OKX.GLOBAL,806,-82.41843,-84.594995125,-85.60512998900691,23756,True,0.43300248138957814,0.4499669232605568,86.79251451019859,1.0,-0.38884552504444136,0.7316383958542861,0.2816377171215881,0.37220843672456577,42.369727047146405,246,"{""oracle_hold_to_trend_end"": 806}"
oracle_hold_to_trend_end,True,LINKUSDT_SWAP_OKX.GLOBAL,949,-3.3100099999999992,-3.4730718549999944,-3.5065413598552526,24171,True,0.44783983140147526,0.6091374090143148,3.707865378782511,1.0,-0.693027341839278,0.7551813566543067,0.2602739726027397,0.3340358271865121,35.21917808219178,255,"{""oracle_hold_to_trend_end"": 949}"
oracle_hold_to_trend_end,True,SOLUSDT_SWAP_OKX.GLOBAL,704,-5.802879999999999,-6.857886734999997,-7.881265750072135,19481,True,0.46732954545454547,0.8721854235890826,15.38069651725752,1.0,-3.2832239235534595,0.7506250509826221,0.26136363636363635,0.3536931818181818,45.15340909090909,331,"{""oracle_hold_to_trend_end"": 704}"
original_exit,False,BTCUSDT_SWAP_OKX.GLOBAL,764,-6.852519999999977,-11.973263129999971,-17.52284862983778,16204,True,0.2591623036649215,0.8248605513499148,36.20500389466823,1.0,-2.822535433182165,0.457288340412108,0.5929319371727748,0.38481675392670156,27.520942408376964,283,"{""original_exit"": 764}"
original_exit,False,DOGEUSDT_SWAP_OKX.GLOBAL,728,-9.928160000000004,-12.400407979999994,-13.312158218555926,12304,True,0.23901098901098902,0.7179233253544333,15.91171784981891,1.0,-1.9168009641532089,0.46363039469809025,0.5728021978021978,0.40384615384615385,23.627747252747252,371,"{""original_exit"": 728}"
original_exit,False,ETHUSDT_SWAP_OKX.GLOBAL,806,-1.6908299999999894,-3.867395124999993,-6.056797220900391,14957,True,0.2990074441687345,0.8955275384301034,18.73404503108285,1.0,-5.26377016047102,0.4561963330939249,0.5967741935483871,0.37220843672456577,26.49379652605459,236,"{""original_exit"": 806}"
original_exit,False,LINKUSDT_SWAP_OKX.GLOBAL,949,-0.0828100000000001,-0.24587185499999478,-0.37096620130416086,17079,True,0.2929399367755532,0.9017591475461797,0.5947474513563018,1.0,-5.35453409960923,0.5288822572134247,0.5026343519494204,0.3340358271865121,24.285563751317177,197,"{""original_exit"": 949}"
original_exit,False,SOLUSDT_SWAP_OKX.GLOBAL,704,-21.26777,-22.32277673499999,-23.225740063903,10891,True,0.23011363636363635,0.44221981096185203,24.736180186811815,1.0,-0.5299005237429181,0.42864544626868056,0.6065340909090909,0.3536931818181818,21.89346590909091,227,"{""original_exit"": 704}"
