group,session_type,timeframe,split,symbol,trade_count,long_count,short_count,no_cost_pnl,cost_aware_pnl,funding_pnl,funding_adjusted_pnl,avg_gross_return,win_rate,max_drawdown,max_drawdown_pct
B,asia_to_europe,15m,validation,BTCUSDT_SWAP_OKX.GLOBAL,59,30,29,-272.0084201411399,-390.00842014113994,0.0,-390.00842014113994,-0.004610312205782032,0.2542372881355932,390.70455669919136,0.3904327621799769
B,asia_to_europe,15m,validation,ETHUSDT_SWAP_OKX.GLOBAL,74,48,26,-480.15613273208646,-628.1561327320865,0.08211456768510002,-628.0740181644014,-0.0064885963882714386,0.2702702702702703,618.2497458365722,0.6243838629432283
B,asia_to_europe,15m,validation,SOLUSDT_SWAP_OKX.GLOBAL,50,30,20,-2222.155153820973,-2322.155153820973,0.0,-2322.155153820973,-0.04444310307641945,0.26,2327.5142882451796,2.315107316927302
B,asia_to_europe,1h,oos,BTCUSDT_SWAP_OKX.GLOBAL,52,26,26,-372.79426649196876,-476.7942664919688,-0.18372846421690003,-476.9779949561857,-0.007169120509460938,0.34615384615384615,512.4072682413332,0.5115568965524088
B,asia_to_europe,1h,oos,ETHUSDT_SWAP_OKX.GLOBAL,50,29,21,-730.5450345828906,-830.5450345828906,-0.9339803915992999,-831.4790149744898,-0.01461090069165781,0.4,988.1111991985533,0.9281379531835405
B,asia_to_europe,1h,oos,SOLUSDT_SWAP_OKX.GLOBAL,43,26,17,-336.8970902562763,-422.8970902562763,-3.0436370619166,-425.9407273181929,-0.007834816052471542,0.4418604651162791,508.7856863737509,0.4698601421366052
B,asia_to_europe,1h,train,BTCUSDT_SWAP_OKX.GLOBAL,163,89,74,-135.95237778049187,-461.9523777804919,-3.3239739617937003,-465.2763517422856,-0.0008340636673649807,0.4110429447852761,782.940504240294,0.6502388163340049
B,asia_to_europe,1h,train,ETHUSDT_SWAP_OKX.GLOBAL,162,83,79,-201.96624713985983,-525.9662471398598,-1.1757508468380997,-527.1419979866978,-0.0012467052292583936,0.4382716049382716,741.2226235784182,0.6815815246259037
B,asia_to_europe,1h,train,SOLUSDT_SWAP_OKX.GLOBAL,152,85,67,-3101.85434361477,-3405.85434361477,-4.669753068826801,-3410.5240966835963,-0.0204069364711498,0.4144736842105263,3446.5374893616163,3.3267306327503814
B,asia_to_europe,1h,validation,BTCUSDT_SWAP_OKX.GLOBAL,39,20,19,-71.68254773649828,-149.68254773649826,-0.6734960018937,-150.356043738392,-0.0018380140445255972,0.46153846153846156,190.61644318664355,0.1832391613558927
B,asia_to_europe,1h,validation,ETHUSDT_SWAP_OKX.GLOBAL,43,25,18,-63.59722719094708,-149.59722719094708,-1.215174233967,-150.8124014249141,-0.001479005283510397,0.3953488372093023,216.67927497826088,0.2241893448332156
B,asia_to_europe,1h,validation,SOLUSDT_SWAP_OKX.GLOBAL,25,15,10,-772.7037918953216,-822.7037918953217,0.6285650299208,-822.0752268654007,-0.030908151675812862,0.36,805.0993106231201,0.8190026306838161
B,asia_to_europe,30m,oos,BTCUSDT_SWAP_OKX.GLOBAL,68,35,33,-522.7341630645589,-658.7341630645589,-0.33695116323119995,-659.0711142277901,-0.00768726710389057,0.29411764705882354,696.9546929752931,0.6935354839730588
B,asia_to_europe,30m,oos,ETHUSDT_SWAP_OKX.GLOBAL,62,36,26,-726.8256717614177,-850.8256717614177,-0.5489671110901999,-851.3746388725078,-0.011722994705829317,0.3225806451612903,1043.2336950723472,1.0293374004905906
B,asia_to_europe,30m,oos,SOLUSDT_SWAP_OKX.GLOBAL,59,34,25,-572.1337812456587,-690.1337812456587,-1.9612553795268999,-692.0950366251856,-0.009697182732977264,0.3898305084745763,769.0755417303775,0.7252698695635246
B,asia_to_europe,30m,train,BTCUSDT_SWAP_OKX.GLOBAL,206,111,95,-528.2822469805332,-940.282246980533,-2.5503099980629003,-942.8325569785961,-0.002564476927089967,0.3640776699029126,971.2946301286953,0.9668135874540776
B,asia_to_europe,30m,train,ETHUSDT_SWAP_OKX.GLOBAL,202,104,98,-403.97833482238696,-807.978334822387,-0.9841678594677002,-808.9625026818546,-0.0019998927466454795,0.3910891089108911,827.6940458851425,0.8331727798476827
B,asia_to_europe,30m,train,SOLUSDT_SWAP_OKX.GLOBAL,196,111,85,-3342.6358401861444,-3734.6358401861444,2.4274450296495003,-3732.2083951564946,-0.01705426449074563,0.413265306122449,3448.044472256957,4.816807342574121
B,asia_to_europe,30m,validation,BTCUSDT_SWAP_OKX.GLOBAL,49,26,23,-108.95427982539863,-206.9542798253986,-0.3894440265372,-207.3437238519358,-0.0022235567311305843,0.3877551020408163,191.84151847057137,0.19597009183588138
B,asia_to_europe,30m,validation,ETHUSDT_SWAP_OKX.GLOBAL,60,38,22,-324.811455364309,-444.81145536430904,-0.8194163751658,-445.63087173947486,-0.005413524256071817,0.36666666666666664,406.0404634094773,0.42277843425473943
B,asia_to_europe,30m,validation,SOLUSDT_SWAP_OKX.GLOBAL,39,23,16,-1787.8719600025865,-1865.8719600025865,-0.24004107915230002,-1866.1120010817392,-0.04584287076929709,0.358974358974359,1888.8873651704794,1.8468252477448142
C,europe_to_us,15m,oos,BTCUSDT_SWAP_OKX.GLOBAL,164,73,91,-229.61291722075958,-557.6129172207596,1.0523071760223,-556.5606100447374,-0.0014000787635412171,0.3353658536585366,553.9828708503093,0.5610534350149995
C,europe_to_us,15m,oos,ETHUSDT_SWAP_OKX.GLOBAL,153,65,88,-1152.028962127821,-1458.028962127821,0.9401382184534001,-1457.0888239093674,-0.007529601059658961,0.3333333333333333,1536.6518940833232,1.4234016858651102
C,europe_to_us,15m,oos,SOLUSDT_SWAP_OKX.GLOBAL,141,71,70,-983.0773157318005,-1265.0773157318006,-0.06416039158830006,-1265.1414761233889,-0.006972179544197167,0.40425531914893614,1384.6965114479124,1.248970904732391
C,europe_to_us,15m,train,BTCUSDT_SWAP_OKX.GLOBAL,455,239,216,-236.246179641945,-1146.246179641945,-0.1872976294019999,-1146.4334772713469,-0.0005192223728394394,0.38461538461538464,1161.8327688480244,1.1612143361562344
C,europe_to_us,15m,train,ETHUSDT_SWAP_OKX.GLOBAL,445,220,225,-685.5453928814208,-1575.5453928814209,3.1246649713326,-1572.4207279100883,-0.00154055144467735,0.3550561797752809,1594.989400942746,1.601118364762082
C,europe_to_us,15m,train,SOLUSDT_SWAP_OKX.GLOBAL,449,207,242,-3373.723664348171,-4271.723664348171,1.9718788386477992,-4269.751785509523,-0.0075138611678133,0.39420935412026725,3859.237167818076,6.549197022491077
C,europe_to_us,15m,validation,BTCUSDT_SWAP_OKX.GLOBAL,140,64,76,-32.592284144113506,-312.5922841441135,1.5192095705455997,-311.0730745735679,-0.0002328020296008109,0.38571428571428573,387.96576678393217,0.3613686921502437
C,europe_to_us,15m,validation,ETHUSDT_SWAP_OKX.GLOBAL,120,60,60,-245.56546345624568,-485.56546345624565,0.5602326365414001,-485.00523081970425,-0.00204637886213538,0.44166666666666665,577.0781115711022,0.5405700680543802
