family,hold_label,symbol,trade_count,no_cost_pnl,cost_aware_pnl,funding_adjusted_pnl,funding_events_count,funding_data_complete,win_rate,profit_factor,max_drawdown,largest_symbol_pnl_share,top_5pct_trade_pnl_contribution
cross_symbol_breadth_acceleration,fixed_hold_3d,BTCUSDT_SWAP_OKX.GLOBAL,1445,-1608.3625546603712,-3053.3625546603716,-2303.5565959564756,12970,True,0.48581314878892734,0.9009794733842447,3925.905252803694,1.0,-2.9398651668584557
cross_symbol_breadth_acceleration,fixed_hold_3d,DOGEUSDT_SWAP_OKX.GLOBAL,1432,5315.270876097869,3883.2708760978694,4832.431835960612,12854,True,0.513268156424581,1.1301874630647646,4418.693977531214,1.0,2.7641594636244604
cross_symbol_breadth_acceleration,fixed_hold_3d,ETHUSDT_SWAP_OKX.GLOBAL,1459,3081.731313542918,1622.7313135429185,2361.694231881377,13097,True,0.49417409184372857,1.0771649428794567,3275.6929314011386,1.0,4.922888651342503
cross_symbol_breadth_acceleration,fixed_hold_3d,LINKUSDT_SWAP_OKX.GLOBAL,1428,5450.079851634665,4022.079851634665,4746.774580512099,12818,True,0.5063025210084033,1.1257296304407483,3192.6927637479785,1.0,2.704223618961529
cross_symbol_breadth_acceleration,fixed_hold_3d,SOLUSDT_SWAP_OKX.GLOBAL,1443,-571.9246019165917,-2014.924601916592,-1492.4127799406274,12953,True,0.49480249480249483,0.9670106155779874,5674.592687803473,1.0,-9.465872426314206
cross_symbol_breadth_acceleration,fixed_hold_4h,BTCUSDT_SWAP_OKX.GLOBAL,1155,-150.86698413574985,-1305.86698413575,-1275.4104987943301,564,True,0.41645021645021646,0.7191140736777191,1376.5574255278816,1.0,-1.0452957897164246
cross_symbol_breadth_acceleration,fixed_hold_4h,DOGEUSDT_SWAP_OKX.GLOBAL,1150,2810.5245125378847,1660.5245125378847,1704.1376757871956,558,True,0.46608695652173915,1.2399265368628918,739.8601926035202,1.0,2.7593848588867322
cross_symbol_breadth_acceleration,fixed_hold_4h,ETHUSDT_SWAP_OKX.GLOBAL,1173,655.7289108468747,-517.2710891531253,-488.4312674949116,568,True,0.44501278772378516,0.916431608777232,764.6656481954169,1.0,-4.775843970062273
cross_symbol_breadth_acceleration,fixed_hold_4h,LINKUSDT_SWAP_OKX.GLOBAL,1149,547.1553816754699,-601.8446183245302,-571.6034930872836,566,True,0.46127067014795475,0.9223758919096069,1040.4167009908624,1.0,-4.453060597314689
cross_symbol_breadth_acceleration,fixed_hold_4h,SOLUSDT_SWAP_OKX.GLOBAL,1151,970.1141579493177,-180.8858420506823,-156.6045592688423,575,True,0.4613379669852302,0.9806812030960819,1262.3635175275226,1.0,-22.745458847761753
cross_symbol_breadth_acceleration,fixed_hold_8h,BTCUSDT_SWAP_OKX.GLOBAL,1155,-85.99223247452107,-1240.9922324745212,-1175.2544531018016,1154,True,0.44502164502164504,0.8049117982154739,1367.4772402728217,1.0,-1.7027253803839506
cross_symbol_breadth_acceleration,fixed_hold_8h,DOGEUSDT_SWAP_OKX.GLOBAL,1150,1883.0888864021172,733.0888864021176,823.0548323515925,1149,True,0.4756521739130435,1.0849896387580464,575.723948265278,1.0,5.371452812282286
cross_symbol_breadth_acceleration,fixed_hold_8h,ETHUSDT_SWAP_OKX.GLOBAL,1173,1269.1454038207057,96.14540382070572,160.4368454321242,1172,True,0.4731457800511509,1.0206755535599386,807.0808596638001,1.0,21.056542885138843
cross_symbol_breadth_acceleration,fixed_hold_8h,LINKUSDT_SWAP_OKX.GLOBAL,1149,816.2273731345595,-332.77262686544066,-267.02940861937145,1148,True,0.47867711053089645,0.9734909058731349,1398.1540428483759,1.0,-14.479886782813294
cross_symbol_breadth_acceleration,fixed_hold_8h,SOLUSDT_SWAP_OKX.GLOBAL,1151,2973.135852762197,1822.1358527621965,1872.542518085509,1150,True,0.475238922675934,1.176332475145944,930.8809002111789,1.0,3.0072407293669245
funding_neutral_momentum,fixed_hold_10d,BTCUSDT_SWAP_OKX.GLOBAL,289,-1553.4838822299105,-1842.4838822299105,-1514.88743374718,8595,True,0.47750865051903113,0.8320803216783337,2994.361053606158,1.0,-1.542066732450351
funding_neutral_momentum,fixed_hold_10d,DOGEUSDT_SWAP_OKX.GLOBAL,375,5240.65724476334,4865.65724476334,5464.512357979341,11175,True,0.5333333333333333,1.357567044144507,2810.2618859626996,1.0,0.9746903723880019
funding_neutral_momentum,fixed_hold_10d,ETHUSDT_SWAP_OKX.GLOBAL,350,5025.198354651713,4675.198354651713,5076.421473331975,10422,True,0.5657142857142857,1.414688328910005,2317.260222446588,1.0,0.9909548175928035
funding_neutral_momentum,fixed_hold_10d,LINKUSDT_SWAP_OKX.GLOBAL,426,2569.9467203288864,2143.946720328887,2687.427960828901,12705,True,0.5023474178403756,1.1394869512222385,3625.097623854465,1.0,2.260596151024873
funding_neutral_momentum,fixed_hold_10d,SOLUSDT_SWAP_OKX.GLOBAL,404,1898.4558448968344,1494.4558448968342,1705.513331637055,12000,True,0.48514851485148514,1.082276817617264,5231.521384633928,1.0,4.0726384986319415
funding_neutral_momentum,fixed_hold_1d,BTCUSDT_SWAP_OKX.GLOBAL,1339,-1348.189992924692,-2687.189992924692,-2528.5469736754694,4014,True,0.44884241971620614,0.8167307876200884,2640.533219445356,1.0,-1.5735300367113054
funding_neutral_momentum,fixed_hold_1d,DOGEUSDT_SWAP_OKX.GLOBAL,1653,4173.500829548203,2520.500829548203,2744.904549394686,4951,True,0.500302480338778,1.1002362535379813,1437.760681710382,1.0,4.386314784674337
