trend_segment_id,symbol,timeframe,direction,start_time,end_time,start_idx,end_idx,duration_bars,duration_days,start_price,end_price,trend_return,mfe,mae,labels,atr_labels,efficiency_labels,has_atr_move,has_efficiency,has_run_length,run_length,max_run_return,max_run_drawdown,run_duration_bars,month,quarter,abs_trend_return,is_major_trend
TOM_BTCUSDT_SWAP_OKX_GLOBAL_1d_00020,BTCUSDT_SWAP_OKX.GLOBAL,1d,down,2026-03-04T23:59:00+08:00,2026-03-08T23:59:00+08:00,1158,1162,5,4.0,71911.3,67878.6,0.05941047693971302,0.1025586380097574,-0.0347476510067114,downtrend_2atr;run_length,downtrend_2atr,,True,False,True,4,0.05941047693971302,0.0,5,2026-03,2026Q1,0.05941047693971302,False
TOM_BTCUSDT_SWAP_OKX_GLOBAL_1d_00021,BTCUSDT_SWAP_OKX.GLOBAL,1d,down,2026-03-17T23:59:00+08:00,2026-03-30T23:59:00+08:00,1171,1184,14,13.0,73569.3,67601.3,0.0882823259316019,0.1323684688484117,-0.034833944466674094,downtrend_2atr,downtrend_2atr,,True,False,False,2,0.11314482670967796,-0.030002644849698168,14,2026-03,2026Q1,0.0882823259316019,False
TOM_BTCUSDT_SWAP_OKX_GLOBAL_4h_00143,BTCUSDT_SWAP_OKX.GLOBAL,4h,up,2023-01-01T03:59:00+08:00,2023-02-02T11:59:00+08:00,0,194,195,32.333333333333336,16572.2,23855.0,0.43945885277754315,0.48549377873788635,-0.007373794668179334,run_length;trend_efficiency_100_ge_0.45;trend_efficiency_20_ge_0.45;trend_efficiency_20_ge_0.60;trend_efficiency_55_ge_0.45;trend_efficiency_55_ge_0.60;uptrend_2atr;uptrend_3atr;uptrend_5atr,uptrend_2atr;uptrend_3atr;uptrend_5atr,trend_efficiency_100_ge_0.45;trend_efficiency_20_ge_0.45;trend_efficiency_20_ge_0.60;trend_efficiency_55_ge_0.45;trend_efficiency_55_ge_0.60,True,True,True,6,0.44262077455015025,-0.06767357381639139,195,2023-01,2023Q1,0.43945885277754315,True
TOM_BTCUSDT_SWAP_OKX_GLOBAL_4h_00001,BTCUSDT_SWAP_OKX.GLOBAL,4h,down,2023-01-02T23:59:00+08:00,2023-01-03T11:59:00+08:00,11,14,4,0.5,16737.1,16691.2,0.002749952070552064,0.013350205248053415,-0.0020451482881573835,downtrend_2atr,downtrend_2atr,,True,False,False,2,0.003832497660916756,-0.0010825455903646919,4,2023-01,2023Q1,0.002749952070552064,False
TOM_BTCUSDT_SWAP_OKX_GLOBAL_4h_00002,BTCUSDT_SWAP_OKX.GLOBAL,4h,down,2023-01-06T03:59:00+08:00,2023-01-06T19:59:00+08:00,30,34,5,0.6666666666666666,16868.3,16744.5,0.007393472483502084,0.009896425791773966,-0.0006339238106523037,run_length,,,False,False,True,4,0.007393472483502084,0.0,5,2023-01,2023Q1,0.007393472483502084,False
TOM_BTCUSDT_SWAP_OKX_GLOBAL_4h_00003,BTCUSDT_SWAP_OKX.GLOBAL,4h,down,2023-01-17T03:59:00+08:00,2023-01-19T07:59:00+08:00,96,109,14,2.1666666666666665,21310.4,20679.0,0.030533391363218865,0.0420274902327038,-0.014680112262401845,downtrend_2atr;run_length,downtrend_2atr,,True,False,True,4,0.030533391363218865,-0.010051739233134849,14,2023-01,2023Q1,0.030533391363218865,False
TOM_BTCUSDT_SWAP_OKX_GLOBAL_4h_00004,BTCUSDT_SWAP_OKX.GLOBAL,4h,down,2023-01-22T03:59:00+08:00,2023-01-25T23:59:00+08:00,126,149,24,3.8333333333333335,23283.6,22580.9,0.031119220225942934,0.05990158277835178,-0.009208510638297973,downtrend_2atr;run_length,downtrend_2atr,,True,False,True,5,0.031119220225942934,-0.018522360127574355,24,2023-01,2023Q1,0.031119220225942934,False
TOM_BTCUSDT_SWAP_OKX_GLOBAL_4h_00005,BTCUSDT_SWAP_OKX.GLOBAL,4h,down,2023-01-29T19:59:00+08:00,2023-02-11T23:59:00+08:00,172,251,80,13.166666666666666,23436.6,21728.8,0.07859614888995248,0.10680519480519468,-0.047985408991018885,downtrend_2atr;downtrend_3atr;downtrend_5atr;run_length;trend_efficiency_20_ge_0.45,downtrend_2atr;downtrend_3atr;downtrend_5atr,trend_efficiency_20_ge_0.45,True,True,True,6,0.08371828485025046,-0.05325126635167121,80,2023-01,2023Q1,0.07859614888995248,True
TOM_BTCUSDT_SWAP_OKX_GLOBAL_4h_00144,BTCUSDT_SWAP_OKX.GLOBAL,4h,up,2023-02-06T15:59:00+08:00,2023-02-08T03:59:00+08:00,219,228,10,1.5,22880.0,23093.4,0.009326923076923066,0.041110139860139894,-0.02791083916083914,uptrend_2atr,uptrend_2atr,,True,False,False,3,0.009326923076923066,-0.011070804195804085,10,2023-02,2023Q1,0.009326923076923066,False
TOM_BTCUSDT_SWAP_OKX_GLOBAL_4h_00145,BTCUSDT_SWAP_OKX.GLOBAL,4h,up,2023-02-10T07:59:00+08:00,2023-02-19T23:59:00+08:00,241,299,59,9.666666666666666,21798.3,25215.9,0.1567828683888195,0.20250661748851972,-0.02859397292449406,run_length;trend_efficiency_20_ge_0.45;trend_efficiency_20_ge_0.60;trend_efficiency_20_ge_0.75;uptrend_2atr;uptrend_3atr;uptrend_5atr,uptrend_2atr;uptrend_3atr;uptrend_5atr,trend_efficiency_20_ge_0.45;trend_efficiency_20_ge_0.60;trend_efficiency_20_ge_0.75,True,True,True,6,0.1567828683888195,-0.06524820742901971,59,2023-02,2023Q1,0.1567828683888195,True
TOM_BTCUSDT_SWAP_OKX_GLOBAL_4h_00006,BTCUSDT_SWAP_OKX.GLOBAL,4h,down,2023-02-17T03:59:00+08:00,2023-03-12T03:59:00+08:00,282,420,139,23.0,25063.6,20223.6,0.23932435372535066,0.2800743623530373,-0.043833881415807685,downtrend_2atr;downtrend_3atr;downtrend_5atr;run_length;trend_efficiency_20_ge_0.45;trend_efficiency_20_ge_0.60;trend_efficiency_20_ge_0.75;trend_efficiency_55_ge_0.45,downtrend_2atr;downtrend_3atr;downtrend_5atr,trend_efficiency_20_ge_0.45;trend_efficiency_20_ge_0.60;trend_efficiency_20_ge_0.75;trend_efficiency_55_ge_0.45,True,True,True,11,0.26823393683017427,-0.06935061340042559,139,2023-02,2023Q1,0.23932435372535066,True
