,daily_net_pnl_usd
2023-09-22 00:00:00+00:00,-74.57115215539112
2023-09-23 00:00:00+00:00,362.8591433397628
2023-09-24 00:00:00+00:00,376.8643719799668
2023-09-25 00:00:00+00:00,-115.77742465867334
2023-09-26 00:00:00+00:00,699.1960757642696
2023-09-27 00:00:00+00:00,-152.20448340129332
2023-09-28 00:00:00+00:00,376.1776051927839
2023-09-29 00:00:00+00:00,-521.605169192161
2023-09-30 00:00:00+00:00,102.02069992556096
2023-10-01 00:00:00+00:00,623.1238430505039
2023-10-02 00:00:00+00:00,850.4525063791693
2023-10-03 00:00:00+00:00,-1167.7110224848504
2023-10-04 00:00:00+00:00,55.03186763658273
2023-10-05 00:00:00+00:00,142.10272258442308
2023-10-06 00:00:00+00:00,-474.2308342205752
2023-10-07 00:00:00+00:00,472.8710415327097
2023-10-08 00:00:00+00:00,-218.99096713420917
2023-10-09 00:00:00+00:00,283.6215159780956
2023-10-10 00:00:00+00:00,-517.6413298386615
2023-10-11 00:00:00+00:00,-37.12814575155667
2023-10-12 00:00:00+00:00,136.14546690280918
2023-10-13 00:00:00+00:00,75.70790721543914
2023-10-14 00:00:00+00:00,-250.3315402103995
2023-10-15 00:00:00+00:00,-223.47454625446238
2023-10-16 00:00:00+00:00,92.77434745055916
2023-10-17 00:00:00+00:00,-480.2404990508431
2023-10-18 00:00:00+00:00,50.34174659362486
2023-10-19 00:00:00+00:00,91.13033872261433
2023-10-20 00:00:00+00:00,30.560902934241568
2023-10-21 00:00:00+00:00,-264.9872301715611
2023-10-22 00:00:00+00:00,1375.9477228301291
2023-10-23 00:00:00+00:00,1418.1005738039576
2023-10-24 00:00:00+00:00,2382.915046985722
2023-10-25 00:00:00+00:00,-738.3167116136701
2023-10-26 00:00:00+00:00,2074.417127069735
2023-10-27 00:00:00+00:00,-99.3959060238058
2023-10-28 00:00:00+00:00,-326.4356073024181
2023-10-29 00:00:00+00:00,-303.3012099693918
2023-10-30 00:00:00+00:00,884.5351899051316
2023-10-31 00:00:00+00:00,1046.9388682098838
2023-11-01 00:00:00+00:00,1653.5957415886191
2023-11-02 00:00:00+00:00,1883.6552836145115
2023-11-03 00:00:00+00:00,-1732.3886393161933
2023-11-04 00:00:00+00:00,209.65124985283876
2023-11-05 00:00:00+00:00,1483.8054376344815
2023-11-06 00:00:00+00:00,606.7751670898222
