date,close_price,pre_close,trades,trade_count,start_pos,end_pos,turnover,commission,slippage,trading_pnl,holding_pnl,total_pnl,net_pnl,balance,return,highlevel,drawdown,ddpercent
2025-07-28,118177.2,118627.2,[],0,0,0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,14536.368250000007,0.0,18393.33305,-3856.9647999999943,-20.96936313562807
2025-07-29,117381.1,118177.2,[],0,0,0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,14536.368250000007,0.0,18393.33305,-3856.9647999999943,-20.96936313562807
2025-07-30,117875.0,117381.1,[],0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14536.368250000007,0.0,18393.33305,-3856.9647999999943,-20.96936313562807
2025-07-31,118136.4,117875.0,[],0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14536.368250000007,0.0,18393.33305,-3856.9647999999943,-20.96936313562807
2025-08-01,115220.0,118136.4,"[TradeData(gateway_name='BACKTESTING', extra=None, symbol='BTCUSDT_SWAP_OKX', exchange=<Exchange.GLOBAL: 'GLOBAL'>, orderid='7', tradeid='7', direction=<Direction.LONG: '多'>, offset=<Offset.OPEN: '开'>, price=113919.4, volume=1, datetime=datetime.datetime(2025, 8, 1, 16, 1, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai')))]",1,0,1,113919.4,56.9597,0.0,1300.6000000000058,-0.0,1300.6000000000058,1243.640300000006,15780.008550000013,0.08209019281532302,18393.33305,-2613.324499999988,-14.207998587836085
2025-08-02,112796.0,115220.0,"[TradeData(gateway_name='BACKTESTING', extra=None, symbol='BTCUSDT_SWAP_OKX', exchange=<Exchange.GLOBAL: 'GLOBAL'>, orderid='8', tradeid='8', direction=<Direction.SHORT: '空'>, offset=<Offset.CLOSE: '平'>, price=113249.8, volume=1, datetime=datetime.datetime(2025, 8, 2, 8, 1, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai')))]",1,1,0,113249.8,56.624900000000004,0.0,453.8000000000029,-2424.0,-1970.199999999997,-2026.8248999999971,13753.183650000015,-0.13747352174910568,18393.33305,-4640.149399999986,-25.22734399135988
2025-08-03,113725.1,112796.0,[],0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13753.183650000015,0.0,18393.33305,-4640.149399999986,-25.22734399135988
2025-08-04,114833.0,113725.1,[],0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13753.183650000015,0.0,18393.33305,-4640.149399999986,-25.22734399135988
2025-08-05,111733.3,114833.0,"[TradeData(gateway_name='BACKTESTING', extra=None, symbol='BTCUSDT_SWAP_OKX', exchange=<Exchange.GLOBAL: 'GLOBAL'>, orderid='9', tradeid='9', direction=<Direction.SHORT: '空'>, offset=<Offset.OPEN: '开'>, price=115289.4, volume=1, datetime=datetime.datetime(2025, 8, 5, 4, 1, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai')))]",1,0,-1,115289.4,57.6447,0.0,3556.0999999999913,-0.0,3556.0999999999913,3498.4552999999914,17251.638950000008,0.22663681506468492,18393.33305,-1141.6940999999933,-6.207108286988765
2025-08-06,114400.0,111733.3,[],0,-1,-1,0.0,0.0,0.0,0.0,-2666.699999999997,-2666.699999999997,-2666.699999999997,14584.93895000001,-0.16791773305466776,18393.33305,-3808.3940999999904,-20.705296259505236
2025-08-07,116381.9,114400.0,"[TradeData(gateway_name='BACKTESTING', extra=None, symbol='BTCUSDT_SWAP_OKX', exchange=<Exchange.GLOBAL: 'GLOBAL'>, orderid='10', tradeid='10', direction=<Direction.LONG: '多'>, offset=<Offset.CLOSE: '平'>, price=115598.3, volume=1, datetime=datetime.datetime(2025, 8, 7, 20, 1, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai')))]",1,-1,0,115598.3,57.799150000000004,0.0,783.5999999999913,-1981.8999999999942,-1198.300000000003,-1256.099150000003,13328.839800000007,-0.09005932386007919,18393.33305,-5064.493249999994,-27.53439649155917
2025-08-08,115796.9,116381.9,[],0,0,0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,13328.839800000007,0.0,18393.33305,-5064.493249999994,-27.53439649155917
2025-08-09,116097.0,115796.9,[],0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13328.839800000007,0.0,18393.33305,-5064.493249999994,-27.53439649155917
2025-08-10,117163.7,116097.0,"[TradeData(gateway_name='BACKTESTING', extra=None, symbol='BTCUSDT_SWAP_OKX', exchange=<Exchange.GLOBAL: 'GLOBAL'>, orderid='11', tradeid='11', direction=<Direction.SHORT: '空'>, offset=<Offset.OPEN: '开'>, price=117401.2, volume=1, datetime=datetime.datetime(2025, 8, 10, 16, 6, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai')))]",1,0,-1,117401.2,58.7006,0.0,237.5,0.0,237.5,178.7994,13507.639200000007,0.01332529842537128,18393.33305,-4885.693849999994,-26.562308401195367
2025-08-11,118597.0,117163.7,"[TradeData(gateway_name='BACKTESTING', extra=None, symbol='BTCUSDT_SWAP_OKX', exchange=<Exchange.GLOBAL: 'GLOBAL'>, orderid='12', tradeid='12', direction=<Direction.LONG: '多'>, offset=<Offset.CLOSE: '平'>, price=120016.6, volume=1, datetime=datetime.datetime(2025, 8, 11, 12, 1, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai')))]",1,-1,0,120016.6,60.008300000000006,0.0,-1419.6000000000058,-1433.300000000003,-2852.9000000000087,-2912.9083000000087,10594.730899999999,-0.24289859944417905,18393.33305,-7798.602150000002,-42.39906997171457
2025-08-12,119650.9,118597.0,[],0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10594.730899999999,0.0,18393.33305,-7798.602150000002,-42.39906997171457
2025-08-13,119415.4,119650.9,[],0,0,0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,10594.730899999999,0.0,18393.33305,-7798.602150000002,-42.39906997171457
2025-08-14,118230.0,119415.4,[],0,0,0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,10594.730899999999,0.0,18393.33305,-7798.602150000002,-42.39906997171457
2025-08-15,115652.2,118230.0,[],0,0,0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,10594.730899999999,0.0,18393.33305,-7798.602150000002,-42.39906997171457
2025-08-16,116902.0,115652.2,"[TradeData(gateway_name='BACKTESTING', extra=None, symbol='BTCUSDT_SWAP_OKX', exchange=<Exchange.GLOBAL: 'GLOBAL'>, orderid='13', tradeid='13', direction=<Direction.LONG: '多'>, offset=<Offset.OPEN: '开'>, price=114918.5, volume=1, datetime=datetime.datetime(2025, 8, 16, 0, 1, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai')))]",1,0,1,114918.5,57.459250000000004,0.0,1983.5,0.0,1983.5,1926.04075,12520.771649999999,0.1670322045345728,18393.33305,-5872.561400000002,-31.9276630507161
2025-08-17,117900.7,116902.0,[],0,1,1,0.0,0.0,0.0,0.0,998.6999999999971,998.6999999999971,998.6999999999971,13519.471649999996,0.07674199354992159,18393.33305,-4873.861400000005,-26.497978298718433
2025-08-18,115900.0,117900.7,[],0,1,1,0.0,0.0,0.0,0.0,-2000.699999999997,-2000.699999999997,-2000.699999999997,11518.771649999999,-0.16015296873074503,18393.33305,-6874.561400000002,-37.375289086063724
2025-08-19,113708.6,115900.0,[],0,1,1,0.0,0.0,0.0,0.0,-2191.399999999994,-2191.399999999994,-2191.399999999994,9327.371650000005,-0.21102475634590548,18393.33305,-9065.961399999997,-49.28938858093474
