split,policy_name,policy_family,funding_mode,synthetic_funding_stress,funding_bps_per_8h,original_net_pnl,funding_cost,funding_adjusted_net_pnl,funding_break_even_bps,remains_positive_after_funding,funding_exposure_notional_periods
train,v3_4h_donchian_55_20_atr4,4h_donchian,synthetic,True,10.0,-4.728818925000001,6.448895566041668,-11.17771449104167,-7.332757797941128,False,6448.895566041668
train,v3_4h_donchian_55_with_risk_filters,risk_filtered,synthetic,True,1.0,1.2616624350000003,0.099749915,1.1619125200000002,12.648255740368304,True,997.49915
train,v3_4h_donchian_55_with_risk_filters,risk_filtered,synthetic,True,3.0,1.2616624350000003,0.299249745,0.9624126900000003,12.648255740368304,True,997.49915
train,v3_4h_donchian_55_with_risk_filters,risk_filtered,synthetic,True,5.0,1.2616624350000003,0.498749575,0.7629128600000004,12.648255740368304,True,997.49915
train,v3_4h_donchian_55_with_risk_filters,risk_filtered,synthetic,True,10.0,1.2616624350000003,0.99749915,0.2641632850000003,12.648255740368304,True,997.49915
train,v3_4h_ema_50_200_atr4,4h_ema,synthetic,True,1.0,-1.2617110499999924,0.6459871158020833,-1.9076981658020757,-1.9531520352900562,False,6459.871158020834
train,v3_4h_ema_50_200_atr4,4h_ema,synthetic,True,3.0,-1.2617110499999924,1.9379613474062503,-3.1996723974062427,-1.9531520352900562,False,6459.871158020834
train,v3_4h_ema_50_200_atr4,4h_ema,synthetic,True,5.0,-1.2617110499999924,3.2299355790104167,-4.491646629010409,-1.9531520352900562,False,6459.871158020834
train,v3_4h_ema_50_200_atr4,4h_ema,synthetic,True,10.0,-1.2617110499999924,6.4598711580208334,-7.721582208020826,-1.9531520352900562,False,6459.871158020834
train,v3_4h_vol_compression_donchian_breakout,vol_compression,synthetic,True,1.0,-4.252638159999996,0.27119048225,-4.523828642249995,-15.681369510894758,False,2711.9048224999997
train,v3_4h_vol_compression_donchian_breakout,vol_compression,synthetic,True,3.0,-4.252638159999996,0.8135714467499999,-5.066209606749996,-15.681369510894758,False,2711.9048224999997
train,v3_4h_vol_compression_donchian_breakout,vol_compression,synthetic,True,5.0,-4.252638159999996,1.3559524112499999,-5.608590571249995,-15.681369510894758,False,2711.9048224999997
train,v3_4h_vol_compression_donchian_breakout,vol_compression,synthetic,True,10.0,-4.252638159999996,2.7119048224999998,-6.964542982499996,-15.681369510894758,False,2711.9048224999997
train,v3_ensemble_core,ensemble,synthetic,True,1.0,-2.389399909999995,0.6801863088020834,-3.0695862188020784,-3.512860931011842,False,6801.863088020834
train,v3_ensemble_core,ensemble,synthetic,True,3.0,-2.389399909999995,2.0405589264062503,-4.429958836406245,-3.512860931011842,False,6801.863088020834
train,v3_ensemble_core,ensemble,synthetic,True,5.0,-2.389399909999995,3.4009315440104166,-5.790331454010412,-3.512860931011842,False,6801.863088020834
train,v3_ensemble_core,ensemble,synthetic,True,10.0,-2.389399909999995,6.801863088020833,-9.191262998020829,-3.512860931011842,False,6801.863088020834
validation,v3_1d_donchian_20_10_atr4,1d_donchian,synthetic,True,1.0,-0.7421702849999999,0.15069074552708334,-0.8928610305270832,-4.925121860695892,False,1506.9074552708335
validation,v3_1d_donchian_20_10_atr4,1d_donchian,synthetic,True,3.0,-0.7421702849999999,0.45207223658125,-1.19424252158125,-4.925121860695892,False,1506.9074552708335
validation,v3_1d_donchian_20_10_atr4,1d_donchian,synthetic,True,5.0,-0.7421702849999999,0.7534537276354167,-1.4956240126354166,-4.925121860695892,False,1506.9074552708335
validation,v3_1d_donchian_20_10_atr4,1d_donchian,synthetic,True,10.0,-0.7421702849999999,1.5069074552708335,-2.2490777402708333,-4.925121860695892,False,1506.9074552708335
validation,v3_1d_donchian_55_20_atr5,1d_donchian,synthetic,True,1.0,1.2267411300000002,0.11965418655416668,1.1070869434458335,10.252387863124726,True,1196.5418655416668
validation,v3_1d_donchian_55_20_atr5,1d_donchian,synthetic,True,3.0,1.2267411300000002,0.3589625596625,0.8677785703375002,10.252387863124726,True,1196.5418655416668
validation,v3_1d_donchian_55_20_atr5,1d_donchian,synthetic,True,5.0,1.2267411300000002,0.5982709327708334,0.6284701972291667,10.252387863124726,True,1196.5418655416668
validation,v3_1d_donchian_55_20_atr5,1d_donchian,synthetic,True,10.0,1.2267411300000002,1.1965418655416669,0.03019926445833332,10.252387863124726,True,1196.5418655416668
validation,v3_1d_ema_50_200_atr5,1d_ema,synthetic,True,1.0,-0.903538340000001,0.11492553969791668,-1.0184638796979177,-7.861945589944268,False,1149.2553969791668
validation,v3_1d_ema_50_200_atr5,1d_ema,synthetic,True,3.0,-0.903538340000001,0.34477661909375,-1.248314959093751,-7.861945589944268,False,1149.2553969791668
validation,v3_1d_ema_50_200_atr5,1d_ema,synthetic,True,5.0,-0.903538340000001,0.5746276984895834,-1.4781660384895843,-7.861945589944268,False,1149.2553969791668
validation,v3_1d_ema_50_200_atr5,1d_ema,synthetic,True,10.0,-0.903538340000001,1.1492553969791668,-2.052793736979168,-7.861945589944268,False,1149.2553969791668
validation,v3_4h_donchian_100_30_atr5,4h_donchian,synthetic,True,1.0,-3.064030754999999,0.0953219595,-3.1593527144999993,-32.14401771713473,False,953.219595
validation,v3_4h_donchian_100_30_atr5,4h_donchian,synthetic,True,3.0,-3.064030754999999,0.2859658785,-3.349996633499999,-32.14401771713473,False,953.219595
validation,v3_4h_donchian_100_30_atr5,4h_donchian,synthetic,True,5.0,-3.064030754999999,0.47660979750000004,-3.5406405524999993,-32.14401771713473,False,953.219595
