policy_name,time,net_pnl,no_cost_net_pnl,cumulative_net_pnl,cumulative_no_cost_net_pnl,equity,no_cost_equity,drawdown,ddpercent
v3_4h_ema_50_200_atr4,2026-01-02T20:00:00+08:00,-0.33603924999999996,-0.3272,-0.4639889999998559,-0.4501000000000204,4999.536011,4999.5499,0.4639889999998559,0.009279779999997118
v3_4h_ema_50_200_atr4,2026-01-05T16:00:00+08:00,0.03050710499999997,0.033789999999999966,-0.4334818950001136,-0.41630999999961205,4999.566518105,4999.58369,0.4334818950001136,0.008669637900002271
v3_4h_ema_50_200_atr4,2026-01-08T00:00:00+08:00,-0.2875627950000006,-0.2784100000000006,-0.7210446899998715,-0.6947200000004159,4999.27895531,4999.30528,0.7210446899998715,0.01442089379999743
v3_4h_ema_50_200_atr4,2026-01-08T20:00:00+08:00,-0.07846900000000007,-0.07500000000000007,-0.7995136899999125,-0.769720000000234,4999.20048631,4999.23028,0.7995136899999125,0.015990273799998247
v3_4h_ema_50_200_atr4,2026-01-08T20:00:00+08:00,-0.007876010000000013,-0.007700000000000013,-0.8073897000003853,-0.7774200000003475,4999.1926103,4999.22258,0.8073897000003853,0.016147794000007706
v3_4h_ema_50_200_atr4,2026-01-09T04:00:00+08:00,-0.001052859999999992,-0.0008799999999999919,-0.8084425600000031,-0.7782999999999447,4999.19155744,4999.2217,0.8084425600000031,0.016168851200000063
v3_4h_ema_50_200_atr4,2026-01-10T04:00:00+08:00,-0.0394300000000002,-0.0360000000000002,-0.8478725599998143,-0.8143000000000029,4999.15212744,4999.1857,0.8478725599998143,0.016957451199996285
v3_4h_ema_50_200_atr4,2026-01-10T16:00:00+08:00,-0.01990716000000029,-0.010680000000000292,-0.8677797199998167,-0.8249800000003233,4999.13222028,4999.17502,0.8677797199998167,0.017355594399996333
v3_4h_ema_50_200_atr4,2026-01-11T04:00:00+08:00,-0.015768600000000056,-0.014000000000000058,-0.8835483200000454,-0.838980000000447,4999.11645168,4999.16102,0.8835483200000454,0.017670966400000907
v3_4h_ema_50_200_atr4,2026-01-11T08:00:00+08:00,-0.062268089999999714,-0.05301999999999971,-0.9458164099996793,-0.8919999999998254,4999.05418359,4999.108,0.9458164099996793,0.018916328199993587
v3_4h_ema_50_200_atr4,2026-01-11T20:00:00+08:00,-0.0004022149999999969,-0.0002299999999999969,-0.946218625000256,-0.8922300000003816,4999.053781375,4999.10777,0.946218625000256,0.01892437250000512
v3_4h_ema_50_200_atr4,2026-01-12T08:00:00+08:00,-0.0017124899999999995,-0.0015399999999999993,-0.9479311149998466,-0.8937699999996767,4999.052068885,4999.10623,0.9479311149998466,0.01895862229999693
