group,event_group,hold,split,event_count,trade_count,early_trend_rate,early_uptrend_rate,early_downtrend_rate,nontrend_rate,direction_match_rate,future_2atr_hit_rate,future_3atr_hit_rate,avg_forward_return_3d,no_cost_pnl,cost_aware_pnl,funding_pnl,funding_adjusted_pnl
B,top20_score_events,hold_4h,train_ext,2171,2171,0.2551819438046983,0.08705665591893137,0.16812528788576692,0.007369875633348687,0.463898916967509,0.3597420543528328,0.21510824504836482,-0.006173538545689157,-1385.067760307572,-5727.067760307572,11.437734392549398,-5715.630025915023
B,top20_score_events,hold_8h,train_ext,2171,2171,0.2551819438046983,0.08705665591893137,0.16812528788576692,0.007369875633348687,0.463898916967509,0.3597420543528328,0.21510824504836482,-0.006173538545689157,-789.8842443682026,-5131.884244368203,19.95284357788659,-5111.931400790317
B,top20_score_events,hold_1d,train_ext,2171,2171,0.2551819438046983,0.08705665591893137,0.16812528788576692,0.007369875633348687,0.463898916967509,0.3597420543528328,0.21510824504836482,-0.006173538545689157,-1488.853233404839,-5830.853233404839,50.295902708634586,-5780.557330696203
B,top20_score_events,hold_3d,train_ext,2171,2171,0.2551819438046983,0.08705665591893137,0.16812528788576692,0.007369875633348687,0.463898916967509,0.3597420543528328,0.21510824504836482,-0.006173538545689157,-13640.314116522137,-17982.31411652214,123.10812553430472,-17859.205990987837
B,top20_score_events,hold_4h,validation_ext,1587,1587,0.3560176433522369,0.18210459987397606,0.17391304347826086,0.026465028355387523,0.46194690265486726,0.3320730938878387,0.20793950850661624,-0.0029147104391689526,-1090.5412789439472,-4264.541278943947,-16.789058324709004,-4281.330337268657
B,top20_score_events,hold_8h,validation_ext,1587,1587,0.3560176433522369,0.18210459987397606,0.17391304347826086,0.026465028355387523,0.46194690265486726,0.3320730938878387,0.20793950850661624,-0.0029147104391689526,-2231.0794376435933,-5405.079437643593,-16.912233182520996,-5421.991670826115
B,top20_score_events,hold_1d,validation_ext,1587,1587,0.3560176433522369,0.18210459987397606,0.17391304347826086,0.026465028355387523,0.46194690265486726,0.3320730938878387,0.20793950850661624,-0.0029147104391689526,-4017.4132493293073,-7191.413249329306,-3.863871847971795,-7195.27712117728
B,top20_score_events,hold_3d,validation_ext,1587,1587,0.3560176433522369,0.18210459987397606,0.17391304347826086,0.026465028355387523,0.46194690265486726,0.3320730938878387,0.20793950850661624,-0.0029147104391689526,-4588.015825495634,-7762.015825495634,15.752081069391096,-7746.263744426243
C,top30_score_events,hold_4h,oos_ext,2159,2159,0.25382121352478,0.09124594719777675,0.16257526632700325,0.015748031496062992,0.5,0.3436776285317277,0.1968503937007874,0.007261897931224179,88.53697290493528,-4229.463027095065,-24.8852451841701,-4254.348272279234
C,top30_score_events,hold_8h,oos_ext,2159,2159,0.25382121352478,0.09124594719777675,0.16257526632700325,0.015748031496062992,0.5,0.3436776285317277,0.1968503937007874,0.007261897931224179,578.90329436095,-3739.096705639051,-33.529834013897904,-3772.626539652949
C,top30_score_events,hold_1d,oos_ext,2159,2159,0.25382121352478,0.09124594719777675,0.16257526632700325,0.015748031496062992,0.5,0.3436776285317277,0.1968503937007874,0.007261897931224179,5785.000018547123,1467.0000185471226,-55.641022402329,1411.3589961447929
C,top30_score_events,hold_3d,oos_ext,2159,2159,0.25382121352478,0.09124594719777675,0.16257526632700325,0.015748031496062992,0.5,0.3436776285317277,0.1968503937007874,0.007261897931224179,15660.418117233467,11342.418117233468,-146.53428890716393,11195.883828326305
C,top30_score_events,hold_4h,train_ext,3256,3256,0.25522113022113024,0.09643734643734644,0.15878378378378377,0.007063882063882064,0.470517448856799,0.3716216216216216,0.22266584766584765,-0.0029272593007417212,-1328.1467676621592,-7840.14676766216,-21.572224261103706,-7861.718991923263
C,top30_score_events,hold_8h,train_ext,3256,3256,0.25522113022113024,0.09643734643734644,0.15878378378378377,0.007063882063882064,0.470517448856799,0.3716216216216216,0.22266584766584765,-0.0029272593007417212,2018.2711419853788,-4493.7288580146205,-30.615084048887418,-4524.343942063509
C,top30_score_events,hold_1d,train_ext,3256,3256,0.25522113022113024,0.09643734643734644,0.15878378378378377,0.007063882063882064,0.470517448856799,0.3716216216216216,0.22266584766584765,-0.0029272593007417212,2820.694079366058,-3691.305920633942,-45.84945478746781,-3737.155375421411
C,top30_score_events,hold_3d,train_ext,3256,3256,0.25522113022113024,0.09643734643734644,0.15878378378378377,0.007063882063882064,0.470517448856799,0.3716216216216216,0.22266584766584765,-0.0029272593007417212,-8413.530974294976,-14925.530974294972,-129.33490250032887,-15054.865876795306
