group,event_group,hold,split,timeframe,trade_count,no_cost_pnl,cost_aware_pnl,funding_pnl,funding_adjusted_pnl,avg_gross_return,win_rate
B,top20_score_events,hold_1d,train_ext,4h,1905,-2003.1137310362328,-5813.113731036235,42.49566538038509,-5770.618065655849,-0.0010515032708851622,0.48031496062992124
B,top20_score_events,hold_1d,validation_ext,1d,172,901.1123489292711,557.1123489292711,-20.762294778192,536.3500541510791,0.005239025284472506,0.5348837209302325
B,top20_score_events,hold_1d,validation_ext,4h,1415,-4918.525598258579,-7748.525598258579,16.898422930220196,-7731.627175328358,-0.0034759898220908677,0.45724381625441696
B,top20_score_events,hold_3d,oos_ext,1d,243,1887.3759848972538,1401.3759848972536,-10.9512028897964,1390.4247820074577,0.007766979361717095,0.5061728395061729
B,top20_score_events,hold_3d,oos_ext,4h,1218,7238.198094951181,4802.198094951181,-32.051795624073605,4770.146299327107,0.005942691375165174,0.5369458128078818
B,top20_score_events,hold_3d,train_ext,1d,266,-318.4583321843473,-850.4583321843473,31.14102827476861,-819.3173039095785,-0.0011972117751291255,0.46616541353383456
B,top20_score_events,hold_3d,train_ext,4h,1905,-13321.855784337795,-17131.85578433779,91.96709725953608,-17039.88868707826,-0.006993100149258685,0.5123359580052493
B,top20_score_events,hold_3d,validation_ext,1d,172,2508.2912758252833,2164.2912758252833,-52.01844641788199,2112.272829407401,0.01458308881293769,0.5465116279069767
B,top20_score_events,hold_3d,validation_ext,4h,1415,-7096.307101320916,-9926.307101320916,67.7705274872731,-9858.536573833644,-0.005015058022134923,0.44876325088339225
B,top20_score_events,hold_4h,oos_ext,1d,243,435.54481194127584,-50.45518805872416,-6.822943784026799,-57.278131842751236,0.0017923654812398173,0.5020576131687243
B,top20_score_events,hold_4h,oos_ext,4h,1218,195.33214097947166,-2240.6678590205283,-1.2821439588703996,-2241.950002979398,0.00016037121591089642,0.40229885057471265
B,top20_score_events,hold_4h,train_ext,1d,266,514.2604976313964,-17.739502368603382,7.800237328249503,-9.93926504035386,0.0019333101414714161,0.4548872180451128
B,top20_score_events,hold_4h,train_ext,4h,1905,-1899.3282579389688,-5709.328257938969,3.637497064299895,-5705.690760874669,-0.000997022707579511,0.4089238845144357
B,top20_score_events,hold_4h,validation_ext,1d,172,901.1123489292711,557.1123489292711,-20.762294778192,536.3500541510791,0.005239025284472506,0.5348837209302325
B,top20_score_events,hold_4h,validation_ext,4h,1415,-1991.6536278732185,-4821.653627873218,3.9732364534829983,-4817.680391419735,-0.0014075290656347834,0.42897526501766786
B,top20_score_events,hold_8h,oos_ext,1d,243,435.54481194127584,-50.45518805872416,-6.822943784026799,-57.278131842751236,0.0017923654812398173,0.5020576131687243
B,top20_score_events,hold_8h,oos_ext,4h,1218,757.3030002821789,-1678.696999717821,-0.28158882127090035,-1678.9785885390918,0.0006217594419393917,0.4433497536945813
B,top20_score_events,hold_8h,train_ext,1d,266,514.2604976313964,-17.739502368603382,7.800237328249503,-9.93926504035386,0.0019333101414714161,0.4548872180451128
B,top20_score_events,hold_8h,train_ext,4h,1905,-1304.1447419996002,-5114.1447419996,12.152606249637099,-5101.992135749963,-0.0006845904157478217,0.43622047244094486
B,top20_score_events,hold_8h,validation_ext,1d,172,901.1123489292711,557.1123489292711,-20.762294778192,536.3500541510791,0.005239025284472506,0.5348837209302325
B,top20_score_events,hold_8h,validation_ext,4h,1415,-3132.191786572865,-5962.191786572866,3.8500615956710007,-5958.341724977194,-0.002213563100051495,0.4303886925795053
C,top30_score_events,hold_1d,oos_ext,1d,355,-1.0944112647182465,-711.0944112647182,-13.8719550081615,-724.9663662728797,-3.08284863300904e-06,0.48169014084507045
C,top30_score_events,hold_1d,oos_ext,4h,1804,5786.094429811839,2178.09442981184,-41.76906739416751,2136.3253624176737,0.003207369417855787,0.4927937915742794
C,top30_score_events,hold_1d,train_ext,1d,441,387.26639979133165,-494.73360020866835,-7.295745789271203,-502.0293459979396,0.0008781551015676454,0.4421768707482993
C,top30_score_events,hold_1d,train_ext,4h,2815,2433.4276795747255,-3196.572320425275,-38.5537089981966,-3235.1260294234708,0.0008644503302219272,0.4905861456483126
C,top30_score_events,hold_1d,validation_ext,1d,299,1556.3866298345406,958.3866298345406,-37.7285728388999,920.6580569956407,0.005205306454296122,0.5117056856187291
