group,timeframe,split,symbol,trade_count,long_count,short_count,no_cost_pnl,cost_aware_pnl,funding_pnl,funding_adjusted_pnl,avg_gross_return,win_rate,mfe_mean,mae_mean,mfe_mae_ratio_mean,max_drawdown,max_drawdown_pct
B,30m,oos,BTCUSDT_SWAP_OKX.GLOBAL,129,71,58,-506.7699036006047,-764.7699036006047,-0.09438532648870002,-764.8642889270934,-0.003928448865120966,0.24806201550387597,0.009123444141477475,-0.014931165167683735,3.4447897747565377,771.6169947512147,0.7664414411675943
B,30m,oos,ETHUSDT_SWAP_OKX.GLOBAL,119,64,55,-367.6145492446615,-605.6145492446615,0.5777947694416999,-605.0367544752197,-0.003089197892812281,0.3865546218487395,0.024277856657748686,-0.024148815100059336,5.336754814614184,701.6606600560557,0.639837100472851
B,30m,oos,SOLUSDT_SWAP_OKX.GLOBAL,112,63,49,-1116.604030284395,-1340.6040302843953,-0.8745228307505001,-1341.4785531151456,-0.009969678841824956,0.33035714285714285,0.019916251921650713,-0.03415020170049695,2.874295065607702,1406.4730054750992,1.3684068036882553
B,30m,train,BTCUSDT_SWAP_OKX.GLOBAL,306,175,131,-162.94010712625422,-774.9401071262541,0.3132877916848007,-774.6268193345695,-0.0005324840102165169,0.30392156862745096,0.013474385643782866,-0.011067960169232506,18.38545377829165,824.4709865874861,0.7857970648226792
B,30m,train,ETHUSDT_SWAP_OKX.GLOBAL,353,192,161,-419.94203324964667,-1125.9420332496466,-1.9705990689416,-1127.9126323185883,-0.0011896374879593389,0.34560906515580736,0.01305286937336707,-0.012073467829256208,36.35997655568665,1169.703963031509,1.1685924022010221
B,30m,train,SOLUSDT_SWAP_OKX.GLOBAL,355,169,186,-938.5016989902304,-1648.5016989902308,2.786075735833001,-1645.715623254398,-0.0026436667577189607,0.43380281690140843,0.03001155045471675,-0.02662119923826249,15.345082439590492,2042.8527435731853,1.5169698307121493
B,30m,validation,BTCUSDT_SWAP_OKX.GLOBAL,82,41,41,-203.06466647602352,-367.06466647602355,0.31945366499780004,-366.74521281102574,-0.0024763983716588234,0.3048780487804878,0.011986594455505109,-0.012566184079362535,3.083591906972467,392.66602759785815,0.38274496621793075
B,30m,validation,ETHUSDT_SWAP_OKX.GLOBAL,80,48,32,-163.30281911093226,-323.3028191109323,-0.22536133978450001,-323.5281804507168,-0.002041285238886653,0.35,0.016489185308959133,-0.01943398164354066,2.7268767950097934,361.35693184588683,0.3611902686212579
B,30m,validation,SOLUSDT_SWAP_OKX.GLOBAL,52,25,27,-5844.130916763459,-5948.130916763459,-0.2462544392005,-5948.37717120266,-0.1123871330146819,0.25,0.09363092583081828,-0.15009825556225612,2.947821474146882,5973.612394283698,5.826577413456184
C,15m,oos,BTCUSDT_SWAP_OKX.GLOBAL,538,253,285,-2382.99421768291,-3458.99421768291,0.5817269101785999,-3458.412490772731,-0.004429357281938494,0.20260223048327136,0.007426986693966284,-0.013356994937998721,66.7860247111077,3460.4236200039118,3.489403225918933
C,15m,oos,ETHUSDT_SWAP_OKX.GLOBAL,530,241,289,-5491.228744414554,-6551.228744414554,1.0050565660756001,-6550.223687848477,-0.01036080895172557,0.25849056603773585,0.02046595640342379,-0.02943021952385482,9.324076041293889,6678.466254415482,6.596048788386585
C,15m,oos,SOLUSDT_SWAP_OKX.GLOBAL,287,141,146,-1880.357122060457,-2454.357122060457,-0.003164606091599853,-2454.3602866665487,-0.006551766975820408,0.3693379790940767,0.026066268932101663,-0.02781675451427055,2.7193898950953357,2524.6203518626708,2.4160677389823233
C,15m,train,BTCUSDT_SWAP_OKX.GLOBAL,1603,843,760,-2681.323011258898,-5887.323011258898,3.694748920646099,-5883.628262338252,-0.0016726905871858378,0.2944479101684342,0.010234009213677073,-0.00983699842346693,20.574821191006865,5942.692715864051,5.947558724221025
C,15m,train,ETHUSDT_SWAP_OKX.GLOBAL,1652,841,811,-3688.3577508129815,-6992.357750812982,4.9784714234681005,-6987.379279389514,-0.002232662076763306,0.29116222760290555,0.011161187570364923,-0.010992081260315208,13.56214052886497,7014.276693392397,6.897956830908771
C,15m,train,SOLUSDT_SWAP_OKX.GLOBAL,1470,747,723,-10494.549278137425,-13434.549278137423,3.2191002513549005,-13431.33017788607,-0.007139149168800968,0.3707482993197279,0.030704110601030826,-0.028885285374075313,8.545380629046013,13435.651406342904,13.37784269181186
C,15m,validation,BTCUSDT_SWAP_OKX.GLOBAL,462,241,221,-1205.7922236437012,-2129.7922236437007,0.7800496550625,-2129.0121739886386,-0.002609939878016669,0.2922077922077922,0.009138414675831614,-0.011372645706282802,34.36073224429181,2119.1360766223174,2.1402736273566605
