filter_name,policy_name,split,original_trade_count,filtered_trade_count,removed_trade_count,removed_trade_pct,original_net_pnl,filtered_net_pnl,pnl_delta,did_filter_change_trade_set
trend_friendly_only,v3_4h_donchian_100_30_atr5,train_ext,71,10,61,0.8591549295774648,0.7840235650000006,-0.7919831100000005,-1.5760066750000012,True
trend_friendly_only,v3_4h_donchian_100_30_atr5,validation_ext,57,1,56,0.9824561403508771,-4.661865815,-0.0125781199999999,4.649287695,True
trend_friendly_only,v3_4h_donchian_100_30_atr5,oos_ext,42,0,42,1.0,-5.964576719999998,0.0,5.964576719999998,True
original_all,v3_4h_donchian_20_10_atr4,train_ext,245,245,0,0.0,-2.0837283249999965,-2.0837283249999965,0.0,False
original_all,v3_4h_donchian_20_10_atr4,validation_ext,152,152,0,0.0,-5.648036489999992,-5.648036489999992,0.0,False
original_all,v3_4h_donchian_20_10_atr4,oos_ext,120,120,0,0.0,-7.051841784999996,-7.051841784999996,0.0,False
keep_trend_friendly,v3_4h_donchian_20_10_atr4,train_ext,245,21,224,0.9142857142857143,-2.0837283249999965,0.6586127150000003,2.742341039999997,True
keep_trend_friendly,v3_4h_donchian_20_10_atr4,validation_ext,152,0,152,1.0,-5.648036489999992,0.0,5.648036489999992,True
keep_trend_friendly,v3_4h_donchian_20_10_atr4,oos_ext,120,0,120,1.0,-7.051841784999996,0.0,7.051841784999996,True
exclude_hostile_chop_overheated,v3_4h_donchian_20_10_atr4,train_ext,245,212,33,0.1346938775510204,-2.0837283249999965,1.185184335000005,3.2689126600000016,True
exclude_hostile_chop_overheated,v3_4h_donchian_20_10_atr4,validation_ext,152,139,13,0.08552631578947369,-5.648036489999992,-5.313457144999993,0.334579344999999,True
exclude_hostile_chop_overheated,v3_4h_donchian_20_10_atr4,oos_ext,120,120,0,0.0,-7.051841784999996,-7.051841784999996,0.0,False
keep_trend_friendly_exclude_funding_overheated,v3_4h_donchian_20_10_atr4,train_ext,245,21,224,0.9142857142857143,-2.0837283249999965,0.6586127150000003,2.742341039999997,True
keep_trend_friendly_exclude_funding_overheated,v3_4h_donchian_20_10_atr4,validation_ext,152,0,152,1.0,-5.648036489999992,0.0,5.648036489999992,True
keep_trend_friendly_exclude_funding_overheated,v3_4h_donchian_20_10_atr4,oos_ext,120,0,120,1.0,-7.051841784999996,0.0,7.051841784999996,True
exclude_funding_overheated,v3_4h_donchian_20_10_atr4,train_ext,245,234,11,0.044897959183673466,-2.0837283249999965,-0.6286979399999957,1.4550303850000008,True
exclude_funding_overheated,v3_4h_donchian_20_10_atr4,validation_ext,152,152,0,0.0,-5.648036489999992,-5.648036489999992,0.0,False
exclude_funding_overheated,v3_4h_donchian_20_10_atr4,oos_ext,120,120,0,0.0,-7.051841784999996,-7.051841784999996,0.0,False
trend_friendly_only,v3_4h_donchian_20_10_atr4,train_ext,245,21,224,0.9142857142857143,-2.0837283249999965,0.6586127150000003,2.742341039999997,True
trend_friendly_only,v3_4h_donchian_20_10_atr4,validation_ext,152,0,152,1.0,-5.648036489999992,0.0,5.648036489999992,True
trend_friendly_only,v3_4h_donchian_20_10_atr4,oos_ext,120,0,120,1.0,-7.051841784999996,0.0,7.051841784999996,True
original_all,v3_4h_donchian_55_20_atr4,train_ext,121,121,0,0.0,1.6035465750000009,1.6035465750000009,0.0,False
original_all,v3_4h_donchian_55_20_atr4,validation_ext,85,85,0,0.0,-6.265680145000001,-6.265680145000001,0.0,False
original_all,v3_4h_donchian_55_20_atr4,oos_ext,72,72,0,0.0,-8.172770215000002,-8.172770215000002,0.0,False
keep_trend_friendly,v3_4h_donchian_55_20_atr4,train_ext,121,13,108,0.8925619834710744,1.6035465750000009,-0.8761305500000001,-2.479677125000001,True
keep_trend_friendly,v3_4h_donchian_55_20_atr4,validation_ext,85,1,84,0.9882352941176471,-6.265680145000001,-0.011308755,6.254371390000001,True
keep_trend_friendly,v3_4h_donchian_55_20_atr4,oos_ext,72,0,72,1.0,-8.172770215000002,0.0,8.172770215000002,True
exclude_hostile_chop_overheated,v3_4h_donchian_55_20_atr4,train_ext,121,111,10,0.08264462809917356,1.6035465750000009,3.69134316,2.0877965849999995,True
exclude_hostile_chop_overheated,v3_4h_donchian_55_20_atr4,validation_ext,85,77,8,0.09411764705882353,-6.265680145000001,-6.397880635000003,-0.13220049000000156,True
exclude_hostile_chop_overheated,v3_4h_donchian_55_20_atr4,oos_ext,72,71,1,0.013888888888888888,-8.172770215000002,-8.167868360000005,0.004901854999996402,True
keep_trend_friendly_exclude_funding_overheated,v3_4h_donchian_55_20_atr4,train_ext,121,13,108,0.8925619834710744,1.6035465750000009,-0.8761305500000001,-2.479677125000001,True
keep_trend_friendly_exclude_funding_overheated,v3_4h_donchian_55_20_atr4,validation_ext,85,1,84,0.9882352941176471,-6.265680145000001,-0.011308755,6.254371390000001,True
keep_trend_friendly_exclude_funding_overheated,v3_4h_donchian_55_20_atr4,oos_ext,72,0,72,1.0,-8.172770215000002,0.0,8.172770215000002,True
exclude_funding_overheated,v3_4h_donchian_55_20_atr4,train_ext,121,119,2,0.01652892561983471,1.6035465750000009,1.6470001699999999,0.04345359499999901,True
exclude_funding_overheated,v3_4h_donchian_55_20_atr4,validation_ext,85,85,0,0.0,-6.265680145000001,-6.265680145000001,0.0,False
exclude_funding_overheated,v3_4h_donchian_55_20_atr4,oos_ext,72,72,0,0.0,-8.172770215000002,-8.172770215000002,0.0,False
trend_friendly_only,v3_4h_donchian_55_20_atr4,train_ext,121,13,108,0.8925619834710744,1.6035465750000009,-0.8761305500000001,-2.479677125000001,True
trend_friendly_only,v3_4h_donchian_55_20_atr4,validation_ext,85,1,84,0.9882352941176471,-6.265680145000001,-0.011308755,6.254371390000001,True
