feature,split,bucket,sample_count,early_trend_count,early_trend_rate,early_uptrend_count,early_downtrend_count,nontrend_count,nontrend_rate,direction_match_rate,avg_forward_return_4h,avg_forward_return_1d,avg_forward_return_3d,future_2atr_hit_rate,future_3atr_hit_rate,monotonicity_score,feature_predictiveness_score,train_validation_consistency,oos_consistency,train_bucket_boundary_low,train_bucket_boundary_high
distance_from_60d_high,oos_ext,q40-q60,508,87,0.17125984251968504,30,57,0,0.0,0.4827586206896552,0.0013512624686590636,0.008634515498473645,0.011622978441595332,0.4409448818897638,0.25393700787401574,0.6081846665056154,0.1319047619047619,True,False,-0.19097972401225294,-0.1247819409154689
distance_from_60d_high,oos_ext,q60-q80,624,114,0.18269230769230768,9,105,0,0.0,0.42105263157894735,0.001419709999597044,0.004917853592738076,0.009421803769971713,0.453525641025641,0.28525641025641024,0.6081846665056154,0.1319047619047619,True,False,-0.1247819409154689,-0.06925701934832415
distance_from_60d_high,oos_ext,q80-q100,490,98,0.2,3,95,0,0.0,0.3163265306122449,0.0024425739783881166,0.009000289619514568,0.017931547219203967,0.4857142857142857,0.28775510204081634,0.6081846665056154,0.1319047619047619,True,False,-0.06925701934832415,0.0
drawdown_from_60d_high,train_ext,q0-q20,2100,606,0.2885714285714286,350,256,12,0.005714285714285714,0.5346534653465347,0.0007674754056764516,0.0060059208571921745,0.00830168587583892,0.44105011933174226,0.2539379474940334,0.6081846665056154,0.1319047619047619,True,False,-0.5461869550822205,-0.3010317311183693
drawdown_from_60d_high,train_ext,q20-q40,2099,389,0.18532634587899,234,155,12,0.005717008099094807,0.39845758354755784,0.0017730284018956132,0.005580361607919935,0.008162348009567109,0.4592663172939495,0.30157217722725105,0.6081846665056154,0.1319047619047619,True,False,-0.3010317311183693,-0.19097972401225294
drawdown_from_60d_high,train_ext,q40-q60,2101,509,0.24226558781532603,305,204,0,0.0,0.46954813359528486,0.0008070668286254848,0.002040144683440511,0.006332638570112526,0.42162934730824203,0.2863268222963316,0.6081846665056154,0.1319047619047619,True,False,-0.19097972401225294,-0.1247819409154689
drawdown_from_60d_high,train_ext,q60-q80,2098,518,0.2469018112488084,180,338,35,0.016682554814108675,0.4420849420849421,0.0016166244982894961,0.005028338279610708,0.008318748858940614,0.4371114299378288,0.29124820659971307,0.6081846665056154,0.1319047619047619,True,False,-0.1247819409154689,-0.06925701934832415
drawdown_from_60d_high,train_ext,q80-q100,2100,329,0.15666666666666668,82,247,10,0.004761904761904762,0.3829787234042553,0.003303141735830909,0.009204513666534742,0.02152466155267712,0.5138490926456543,0.3533906399235912,0.6081846665056154,0.1319047619047619,True,False,-0.06925701934832415,0.0
drawdown_from_60d_high,validation_ext,q0-q20,3495,924,0.26437768240343346,589,335,69,0.019742489270386267,0.45346320346320346,0.0008636220318100125,0.0037303619154379687,0.003565790122295343,0.4340486409155937,0.3147353361945637,0.6081846665056154,0.1319047619047619,True,False,-0.5461869550822205,-0.3010317311183693
drawdown_from_60d_high,validation_ext,q20-q40,1320,355,0.2689393939393939,199,156,11,0.008333333333333333,0.3380281690140845,0.002022765424432751,0.003715803365452946,0.0010930270364064893,0.44545454545454544,0.31212121212121213,0.6081846665056154,0.1319047619047619,True,False,-0.3010317311183693,-0.19097972401225294
